map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,1919-1944,90-100m,0,
Mixed Use,"1919-1944,1945-1959",0-2m,0,
Mixed Use,"1919-1944,1945-1959",10-12m,49,2.2653061224489797
Mixed Use,"1919-1944,1945-1959",100-200m,0,
Mixed Use,"1919-1944,1945-1959",12-14m,18,3.0
Mixed Use,"1919-1944,1945-1959",14-16m,19,3.0526315789473686
Mixed Use,"1919-1944,1945-1959",16-18m,10,3.3
Mixed Use,"1919-1944,1945-1959",18-20m,3,4.333333333333333
Mixed Use,"1919-1944,1945-1959",2-3m,0,
Mixed Use,"1919-1944,1945-1959",20-25m,2,4.5
Mixed Use,"1919-1944,1945-1959",25-30m,2,5.0
Mixed Use,"1919-1944,1945-1959",3-4m,0,
Mixed Use,"1919-1944,1945-1959",30-35m,0,
Mixed Use,"1919-1944,1945-1959",35-40m,0,
Mixed Use,"1919-1944,1945-1959",4-5m,0,
Mixed Use,"1919-1944,1945-1959",40-45m,0,
Mixed Use,"1919-1944,1945-1959",45-50m,0,
Mixed Use,"1919-1944,1945-1959",5-6m,1,2.0
Mixed Use,"1919-1944,1945-1959",50-55m,0,
Mixed Use,"1919-1944,1945-1959",55-60m,0,
Mixed Use,"1919-1944,1945-1959",6-7m,8,1.875
Mixed Use,"1919-1944,1945-1959",60-70m,0,
Mixed Use,"1919-1944,1945-1959",7-8m,13,2.076923076923077
Mixed Use,"1919-1944,1945-1959",70-80m,0,
Mixed Use,"1919-1944,1945-1959",8-9m,25,2.08
Mixed Use,"1919-1944,1945-1959",80-90m,0,
Mixed Use,"1919-1944,1945-1959",9-10m,34,2.0588235294117645
Mixed Use,"1919-1944,1945-1959",90-100m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",0-2m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",10-12m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",100-200m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",12-14m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",14-16m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",16-18m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",18-20m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",2-3m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",20-25m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",25-30m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",3-4m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",30-35m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",35-40m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",4-5m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",40-45m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",45-50m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",5-6m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",50-55m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",55-60m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",6-7m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",60-70m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",7-8m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",70-80m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",8-9m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",80-90m,0,
Mixed Use,"1919-1944,1945-1959,1980-1989",9-10m,2,2.0
Mixed Use,"1919-1944,1945-1959,1980-1989",90-100m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",0-2m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",10-12m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",100-200m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",12-14m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",14-16m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",16-18m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",18-20m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",2-3m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",20-25m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",25-30m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",3-4m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",30-35m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",35-40m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",4-5m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",40-45m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",45-50m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",5-6m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",50-55m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",55-60m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",6-7m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",60-70m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",7-8m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",70-80m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",8-9m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",80-90m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999",9-10m,1,2.0
Mixed Use,"1919-1944,1945-1959,1990-1999",90-100m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",0-2m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",10-12m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",100-200m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",12-14m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",14-16m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",16-18m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",18-20m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",2-3m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",20-25m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",25-30m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",3-4m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",30-35m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",35-40m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",4-5m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",40-45m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",45-50m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",5-6m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",50-55m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",55-60m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",6-7m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",60-70m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",7-8m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",70-80m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",8-9m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",80-90m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",9-10m,0,
Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",90-100m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",0-2m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",10-12m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",100-200m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",12-14m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",14-16m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",16-18m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",18-20m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",2-3m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",20-25m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",25-30m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",3-4m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",30-35m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",35-40m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",4-5m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",40-45m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",45-50m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",5-6m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",50-55m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",55-60m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",6-7m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",60-70m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",7-8m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",70-80m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",8-9m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",80-90m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",9-10m,0,
Mixed Use,"1919-1944,1945-1959,Post 1999",90-100m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",0-2m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",10-12m,4,2.25
Mixed Use,"1919-1944,1945-1959,Pre 1919",100-200m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",12-14m,2,3.0
Mixed Use,"1919-1944,1945-1959,Pre 1919",14-16m,1,3.0
Mixed Use,"1919-1944,1945-1959,Pre 1919",16-18m,1,3.0
Mixed Use,"1919-1944,1945-1959,Pre 1919",18-20m,1,3.0
Mixed Use,"1919-1944,1945-1959,Pre 1919",2-3m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",20-25m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",25-30m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",3-4m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",30-35m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",35-40m,0,
