map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,"1990-1999,Post 1999,Pre 1919",20-25m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",25-30m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",3-4m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",30-35m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",35-40m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",4-5m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",40-45m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",45-50m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",5-6m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",50-55m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",55-60m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",6-7m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",60-70m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",7-8m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",70-80m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",8-9m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",80-90m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",9-10m,0,
Mixed Use,"1990-1999,Post 1999,Pre 1919",90-100m,0,
Mixed Use,"1990-1999,Pre 1919",0-2m,0,
Mixed Use,"1990-1999,Pre 1919",10-12m,10,2.3
Mixed Use,"1990-1999,Pre 1919",100-200m,0,
Mixed Use,"1990-1999,Pre 1919",12-14m,3,3.0
Mixed Use,"1990-1999,Pre 1919",14-16m,0,
Mixed Use,"1990-1999,Pre 1919",16-18m,8,3.25
Mixed Use,"1990-1999,Pre 1919",18-20m,3,4.0
Mixed Use,"1990-1999,Pre 1919",2-3m,0,
Mixed Use,"1990-1999,Pre 1919",20-25m,0,
Mixed Use,"1990-1999,Pre 1919",25-30m,1,6.0
Mixed Use,"1990-1999,Pre 1919",3-4m,0,
Mixed Use,"1990-1999,Pre 1919",30-35m,0,
Mixed Use,"1990-1999,Pre 1919",35-40m,0,
Mixed Use,"1990-1999,Pre 1919",4-5m,0,
Mixed Use,"1990-1999,Pre 1919",40-45m,0,
Mixed Use,"1990-1999,Pre 1919",45-50m,0,
Mixed Use,"1990-1999,Pre 1919",5-6m,0,
Mixed Use,"1990-1999,Pre 1919",50-55m,0,
Mixed Use,"1990-1999,Pre 1919",55-60m,0,
Mixed Use,"1990-1999,Pre 1919",6-7m,1,2.0
Mixed Use,"1990-1999,Pre 1919",60-70m,0,
Mixed Use,"1990-1999,Pre 1919",7-8m,2,2.0
Mixed Use,"1990-1999,Pre 1919",70-80m,0,
Mixed Use,"1990-1999,Pre 1919",8-9m,4,2.0
Mixed Use,"1990-1999,Pre 1919",80-90m,0,
Mixed Use,"1990-1999,Pre 1919",9-10m,4,2.0
Mixed Use,"1990-1999,Pre 1919",90-100m,0,
Mixed Use,"1990-1999,Unknown date",0-2m,0,
Mixed Use,"1990-1999,Unknown date",10-12m,0,
Mixed Use,"1990-1999,Unknown date",100-200m,0,
Mixed Use,"1990-1999,Unknown date",12-14m,0,
Mixed Use,"1990-1999,Unknown date",14-16m,0,
Mixed Use,"1990-1999,Unknown date",16-18m,0,
Mixed Use,"1990-1999,Unknown date",18-20m,0,
Mixed Use,"1990-1999,Unknown date",2-3m,0,
Mixed Use,"1990-1999,Unknown date",20-25m,0,
Mixed Use,"1990-1999,Unknown date",25-30m,0,
Mixed Use,"1990-1999,Unknown date",3-4m,0,
Mixed Use,"1990-1999,Unknown date",30-35m,0,
Mixed Use,"1990-1999,Unknown date",35-40m,0,
Mixed Use,"1990-1999,Unknown date",4-5m,0,
Mixed Use,"1990-1999,Unknown date",40-45m,0,
Mixed Use,"1990-1999,Unknown date",45-50m,0,
Mixed Use,"1990-1999,Unknown date",5-6m,0,
Mixed Use,"1990-1999,Unknown date",50-55m,0,
Mixed Use,"1990-1999,Unknown date",55-60m,0,
Mixed Use,"1990-1999,Unknown date",6-7m,0,
Mixed Use,"1990-1999,Unknown date",60-70m,0,
Mixed Use,"1990-1999,Unknown date",7-8m,0,
Mixed Use,"1990-1999,Unknown date",70-80m,0,
Mixed Use,"1990-1999,Unknown date",8-9m,0,
Mixed Use,"1990-1999,Unknown date",80-90m,0,
Mixed Use,"1990-1999,Unknown date",9-10m,0,
Mixed Use,"1990-1999,Unknown date",90-100m,0,
Mixed Use,Post 1999,0-2m,0,
Mixed Use,Post 1999,10-12m,677,2.772525849335303
Mixed Use,Post 1999,100-200m,1,43.0
Mixed Use,Post 1999,12-14m,351,3.4074074074074074
Mixed Use,Post 1999,14-16m,200,3.865
Mixed Use,Post 1999,16-18m,119,3.9831932773109244
Mixed Use,Post 1999,18-20m,60,5.15
Mixed Use,Post 1999,2-3m,0,
Mixed Use,Post 1999,20-25m,85,5.588235294117647
Mixed Use,Post 1999,25-30m,52,6.653846153846154
Mixed Use,Post 1999,3-4m,19,1.0
Mixed Use,Post 1999,30-35m,28,7.392857142857143
Mixed Use,Post 1999,35-40m,9,8.666666666666666
Mixed Use,Post 1999,4-5m,4,1.0
Mixed Use,Post 1999,40-45m,12,10.833333333333334
Mixed Use,Post 1999,45-50m,4,11.5
Mixed Use,Post 1999,5-6m,46,1.7826086956521738
Mixed Use,Post 1999,50-55m,2,13.5
Mixed Use,Post 1999,55-60m,1,17.0
Mixed Use,Post 1999,6-7m,58,2.0
Mixed Use,Post 1999,60-70m,5,17.4
Mixed Use,Post 1999,7-8m,269,2.1524163568773234
Mixed Use,Post 1999,70-80m,0,
Mixed Use,Post 1999,8-9m,766,2.171018276762402
Mixed Use,Post 1999,80-90m,0,
Mixed Use,Post 1999,9-10m,865,2.2485549132947975
Mixed Use,Post 1999,90-100m,1,26.0
Mixed Use,"Post 1999,Pre 1919",0-2m,0,
Mixed Use,"Post 1999,Pre 1919",10-12m,1,3.0
Mixed Use,"Post 1999,Pre 1919",100-200m,0,
Mixed Use,"Post 1999,Pre 1919",12-14m,2,3.0
Mixed Use,"Post 1999,Pre 1919",14-16m,0,
Mixed Use,"Post 1999,Pre 1919",16-18m,0,
Mixed Use,"Post 1999,Pre 1919",18-20m,0,
Mixed Use,"Post 1999,Pre 1919",2-3m,0,
Mixed Use,"Post 1999,Pre 1919",20-25m,1,5.0
Mixed Use,"Post 1999,Pre 1919",25-30m,0,
Mixed Use,"Post 1999,Pre 1919",3-4m,0,
Mixed Use,"Post 1999,Pre 1919",30-35m,0,
Mixed Use,"Post 1999,Pre 1919",35-40m,0,
Mixed Use,"Post 1999,Pre 1919",4-5m,0,
Mixed Use,"Post 1999,Pre 1919",40-45m,0,
Mixed Use,"Post 1999,Pre 1919",45-50m,0,
Mixed Use,"Post 1999,Pre 1919",5-6m,0,
Mixed Use,"Post 1999,Pre 1919",50-55m,0,
Mixed Use,"Post 1999,Pre 1919",55-60m,0,
Mixed Use,"Post 1999,Pre 1919",6-7m,0,
Mixed Use,"Post 1999,Pre 1919",60-70m,0,
Mixed Use,"Post 1999,Pre 1919",7-8m,0,
Mixed Use,"Post 1999,Pre 1919",70-80m,0,
Mixed Use,"Post 1999,Pre 1919",8-9m,0,
Mixed Use,"Post 1999,Pre 1919",80-90m,0,
Mixed Use,"Post 1999,Pre 1919",9-10m,1,2.0
Mixed Use,"Post 1999,Pre 1919",90-100m,0,
Mixed Use,"Post 1999,Unknown date",0-2m,0,
Mixed Use,"Post 1999,Unknown date",10-12m,0,
Mixed Use,"Post 1999,Unknown date",100-200m,0,
Mixed Use,"Post 1999,Unknown date",12-14m,0,
Mixed Use,"Post 1999,Unknown date",14-16m,0,
Mixed Use,"Post 1999,Unknown date",16-18m,0,
Mixed Use,"Post 1999,Unknown date",18-20m,0,
Mixed Use,"Post 1999,Unknown date",2-3m,0,
Mixed Use,"Post 1999,Unknown date",20-25m,0,
Mixed Use,"Post 1999,Unknown date",25-30m,0,
Mixed Use,"Post 1999,Unknown date",3-4m,0,
Mixed Use,"Post 1999,Unknown date",30-35m,0,
Mixed Use,"Post 1999,Unknown date",35-40m,0,
Mixed Use,"Post 1999,Unknown date",4-5m,0,
Mixed Use,"Post 1999,Unknown date",40-45m,0,
Mixed Use,"Post 1999,Unknown date",45-50m,0,
Mixed Use,"Post 1999,Unknown date",5-6m,0,
Mixed Use,"Post 1999,Unknown date",50-55m,0,
Mixed Use,"Post 1999,Unknown date",55-60m,0,
Mixed Use,"Post 1999,Unknown date",6-7m,0,
Mixed Use,"Post 1999,Unknown date",60-70m,0,
Mixed Use,"Post 1999,Unknown date",7-8m,0,
Mixed Use,"Post 1999,Unknown date",70-80m,0,
Mixed Use,"Post 1999,Unknown date",8-9m,0,
Mixed Use,"Post 1999,Unknown date",80-90m,0,
Mixed Use,"Post 1999,Unknown date",9-10m,0,
Mixed Use,"Post 1999,Unknown date",90-100m,0,
Mixed Use,Pre 1837,0-2m,0,
Mixed Use,Pre 1837,10-12m,1398,2.7181688125894135
Mixed Use,Pre 1837,100-200m,0,
Mixed Use,Pre 1837,12-14m,866,3.312933025404157
Mixed Use,Pre 1837,14-16m,490,3.6040816326530614
Mixed Use,Pre 1837,16-18m,278,3.9280575539568345
Mixed Use,Pre 1837,18-20m,141,4.624113475177305
Mixed Use,Pre 1837,2-3m,0,
Mixed Use,Pre 1837,20-25m,113,4.752212389380531
Mixed Use,Pre 1837,25-30m,7,5.857142857142857
Mixed Use,Pre 1837,3-4m,3,1.0
Mixed Use,Pre 1837,30-35m,1,6.0
Mixed Use,Pre 1837,35-40m,1,7.0
Mixed Use,Pre 1837,4-5m,1,1.0
Mixed Use,Pre 1837,40-45m,0,
Mixed Use,Pre 1837,45-50m,1,9.0
Mixed Use,Pre 1837,5-6m,29,1.5862068965517242
Mixed Use,Pre 1837,50-55m,1,10.0
Mixed Use,Pre 1837,55-60m,0,
Mixed Use,Pre 1837,6-7m,40,2.0
Mixed Use,Pre 1837,60-70m,0,
Mixed Use,Pre 1837,7-8m,222,2.099099099099099
Mixed Use,Pre 1837,70-80m,0,
Mixed Use,Pre 1837,8-9m,818,2.125916870415648
Mixed Use,Pre 1837,80-90m,0,
Mixed Use,Pre 1837,9-10m,1400,2.2407142857142857
Mixed Use,Pre 1837,90-100m,0,
Mixed Use,Pre 1919,0-2m,0,
Mixed Use,Pre 1919,10-12m,11525,2.408416485900217
Mixed Use,Pre 1919,100-200m,0,
Mixed Use,Pre 1919,12-14m,9485,3.0237216657880865
Mixed Use,Pre 1919,14-16m,8079,3.1664810001237775
Mixed Use,Pre 1919,16-18m,6050,3.387272727272727
Mixed Use,Pre 1919,18-20m,1876,3.9957356076759063
Mixed Use,Pre 1919,2-3m,0,
Mixed Use,Pre 1919,20-25m,2317,4.233491583944756
Mixed Use,Pre 1919,25-30m,648,5.25
Mixed Use,Pre 1919,3-4m,19,1.0
Mixed Use,Pre 1919,30-35m,138,6.630434782608695
Mixed Use,Pre 1919,35-40m,45,7.288888888888889
Mixed Use,Pre 1919,4-5m,9,1.0
Mixed Use,Pre 1919,40-45m,11,7.363636363636363
Mixed Use,Pre 1919,45-50m,17,9.0
Mixed Use,Pre 1919,5-6m,450,1.9622222222222223
Mixed Use,Pre 1919,50-55m,0,
Mixed Use,Pre 1919,55-60m,0,
Mixed Use,Pre 1919,6-7m,818,1.9987775061124695
Mixed Use,Pre 1919,60-70m,0,
Mixed Use,Pre 1919,7-8m,1815,2.0545454545454547
Mixed Use,Pre 1919,70-80m,0,
Mixed Use,Pre 1919,8-9m,4469,2.1145670172298052
Mixed Use,Pre 1919,80-90m,0,
Mixed Use,Pre 1919,9-10m,7549,2.1756524042919594
Mixed Use,Pre 1919,90-100m,0,
Mixed Use,"Pre 1919,Unknown date",0-2m,0,
Mixed Use,"Pre 1919,Unknown date",10-12m,0,
Mixed Use,"Pre 1919,Unknown date",100-200m,0,
Mixed Use,"Pre 1919,Unknown date",12-14m,0,
Mixed Use,"Pre 1919,Unknown date",14-16m,0,
Mixed Use,"Pre 1919,Unknown date",16-18m,0,
Mixed Use,"Pre 1919,Unknown date",18-20m,0,
Mixed Use,"Pre 1919,Unknown date",2-3m,0,
Mixed Use,"Pre 1919,Unknown date",20-25m,1,4.0
Mixed Use,"Pre 1919,Unknown date",25-30m,0,
Mixed Use,"Pre 1919,Unknown date",3-4m,0,
Mixed Use,"Pre 1919,Unknown date",30-35m,0,
Mixed Use,"Pre 1919,Unknown date",35-40m,0,
Mixed Use,"Pre 1919,Unknown date",4-5m,0,
Mixed Use,"Pre 1919,Unknown date",40-45m,0,
Mixed Use,"Pre 1919,Unknown date",45-50m,0,
Mixed Use,"Pre 1919,Unknown date",5-6m,0,
Mixed Use,"Pre 1919,Unknown date",50-55m,0,
Mixed Use,"Pre 1919,Unknown date",55-60m,0,
Mixed Use,"Pre 1919,Unknown date",6-7m,0,
Mixed Use,"Pre 1919,Unknown date",60-70m,0,
Mixed Use,"Pre 1919,Unknown date",7-8m,0,
Mixed Use,"Pre 1919,Unknown date",70-80m,0,
Mixed Use,"Pre 1919,Unknown date",8-9m,1,2.0
Mixed Use,"Pre 1919,Unknown date",80-90m,0,
Mixed Use,"Pre 1919,Unknown date",9-10m,0,
Mixed Use,"Pre 1919,Unknown date",90-100m,0,
Mixed Use,Unknown date,0-2m,0,
Mixed Use,Unknown date,10-12m,2933,2.9028298670303445
Mixed Use,Unknown date,100-200m,0,
Mixed Use,Unknown date,12-14m,1064,3.683270676691729
Mixed Use,Unknown date,14-16m,394,4.482233502538071
Mixed Use,Unknown date,16-18m,160,4.95625
Mixed Use,Unknown date,18-20m,67,5.7164179104477615
Mixed Use,Unknown date,2-3m,1,1.0
Mixed Use,Unknown date,20-25m,43,5.976744186046512
Mixed Use,Unknown date,25-30m,9,8.222222222222221
Mixed Use,Unknown date,3-4m,315,1.0
Mixed Use,Unknown date,30-35m,1,11.0
Mixed Use,Unknown date,35-40m,0,
Mixed Use,Unknown date,4-5m,41,1.0
Mixed Use,Unknown date,40-45m,0,
Mixed Use,Unknown date,45-50m,0,
Mixed Use,Unknown date,5-6m,291,1.831615120274914
Mixed Use,Unknown date,50-55m,0,
Mixed Use,Unknown date,55-60m,1,18.0
Mixed Use,Unknown date,6-7m,557,1.9838420107719927
Mixed Use,Unknown date,60-70m,0,
Mixed Use,Unknown date,7-8m,2244,2.0944741532976825
Mixed Use,Unknown date,70-80m,0,
Mixed Use,Unknown date,8-9m,6644,2.1172486453943407
Mixed Use,Unknown date,80-90m,0,
Mixed Use,Unknown date,9-10m,6152,2.1745773732119638
Mixed Use,Unknown date,90-100m,0,
Non Residential,1837-1869,0-2m,0,
Non Residential,1837-1869,10-12m,63,2.238095238095238
Non Residential,1837-1869,100-200m,0,
Non Residential,1837-1869,12-14m,34,3.176470588235294
Non Residential,1837-1869,14-16m,46,3.5652173913043477
Non Residential,1837-1869,16-18m,28,3.5357142857142856
Non Residential,1837-1869,18-20m,10,4.2
Non Residential,1837-1869,2-3m,0,
Non Residential,1837-1869,20-25m,27,4.7407407407407405
Non Residential,1837-1869,25-30m,12,5.25
Non Residential,1837-1869,3-4m,3,1.0
Non Residential,1837-1869,30-35m,2,6.0
Non Residential,1837-1869,35-40m,5,8.6
Non Residential,1837-1869,4-5m,2,1.0
Non Residential,1837-1869,40-45m,0,
Non Residential,1837-1869,45-50m,0,
Non Residential,1837-1869,5-6m,18,1.2777777777777777
Non Residential,1837-1869,50-55m,0,
Non Residential,1837-1869,55-60m,0,
Non Residential,1837-1869,6-7m,13,1.8461538461538463
Non Residential,1837-1869,60-70m,0,
Non Residential,1837-1869,7-8m,12,2.0
Non Residential,1837-1869,70-80m,0,
Non Residential,1837-1869,8-9m,47,2.106382978723404
Non Residential,1837-1869,80-90m,0,
Non Residential,1837-1869,9-10m,75,2.1866666666666665
Non Residential,1837-1869,90-100m,0,
Non Residential,"1837-1869,Pre 1919",0-2m,0,
Non Residential,"1837-1869,Pre 1919",10-12m,1,2.0
Non Residential,"1837-1869,Pre 1919",100-200m,0,
Non Residential,"1837-1869,Pre 1919",12-14m,0,
Non Residential,"1837-1869,Pre 1919",14-16m,0,
Non Residential,"1837-1869,Pre 1919",16-18m,0,
Non Residential,"1837-1869,Pre 1919",18-20m,0,
Non Residential,"1837-1869,Pre 1919",2-3m,0,
Non Residential,"1837-1869,Pre 1919",20-25m,0,
Non Residential,"1837-1869,Pre 1919",25-30m,0,
Non Residential,"1837-1869,Pre 1919",3-4m,0,
Non Residential,"1837-1869,Pre 1919",30-35m,0,
Non Residential,"1837-1869,Pre 1919",35-40m,0,
Non Residential,"1837-1869,Pre 1919",4-5m,0,
Non Residential,"1837-1869,Pre 1919",40-45m,0,
Non Residential,"1837-1869,Pre 1919",45-50m,0,
Non Residential,"1837-1869,Pre 1919",5-6m,0,
Non Residential,"1837-1869,Pre 1919",50-55m,0,
Non Residential,"1837-1869,Pre 1919",55-60m,0,
Non Residential,"1837-1869,Pre 1919",6-7m,0,
Non Residential,"1837-1869,Pre 1919",60-70m,0,
Non Residential,"1837-1869,Pre 1919",7-8m,0,
Non Residential,"1837-1869,Pre 1919",70-80m,0,
Non Residential,"1837-1869,Pre 1919",8-9m,0,
Non Residential,"1837-1869,Pre 1919",80-90m,0,
Non Residential,"1837-1869,Pre 1919",9-10m,0,
Non Residential,"1837-1869,Pre 1919",90-100m,0,
Non Residential,1870-1918,0-2m,0,
Non Residential,1870-1918,10-12m,1412,2.167847025495751
Non Residential,1870-1918,100-200m,0,
Non Residential,1870-1918,12-14m,320,3.734375
Non Residential,1870-1918,14-16m,165,3.775757575757576
Non Residential,1870-1918,16-18m,116,3.8275862068965516
Non Residential,1870-1918,18-20m,50,4.62
Non Residential,1870-1918,2-3m,16,1.0
Non Residential,1870-1918,20-25m,60,5.45
Non Residential,1870-1918,25-30m,21,6.333333333333333
Non Residential,1870-1918,3-4m,149,1.0
Non Residential,1870-1918,30-35m,3,7.333333333333333
Non Residential,1870-1918,35-40m,2,7.5
Non Residential,1870-1918,4-5m,120,1.0
Non Residential,1870-1918,40-45m,0,
Non Residential,1870-1918,45-50m,0,
Non Residential,1870-1918,5-6m,337,1.6261127596439169
Non Residential,1870-1918,50-55m,1,19.0
Non Residential,1870-1918,55-60m,0,
Non Residential,1870-1918,6-7m,438,1.961187214611872
Non Residential,1870-1918,60-70m,0,
Non Residential,1870-1918,7-8m,1275,2.0054901960784313
Non Residential,1870-1918,70-80m,0,
Non Residential,1870-1918,8-9m,3559,2.0101152008991288
Non Residential,1870-1918,80-90m,0,
Non Residential,1870-1918,9-10m,2909,2.025094534204194
Non Residential,1870-1918,90-100m,0,
Non Residential,1919-1944,0-2m,0,
Non Residential,1919-1944,10-12m,20548,2.3046525209266107
Non Residential,1919-1944,100-200m,0,
Non Residential,1919-1944,12-14m,8076,3.059683011391778
Non Residential,1919-1944,14-16m,5666,3.241440169431698
Non Residential,1919-1944,16-18m,3628,3.4448732083792724
Non Residential,1919-1944,18-20m,1021,4.173359451518119
Non Residential,1919-1944,2-3m,93,1.0
Non Residential,1919-1944,20-25m,1331,4.49060856498873
Non Residential,1919-1944,25-30m,546,5.397435897435898
Non Residential,1919-1944,3-4m,1665,1.0
Non Residential,1919-1944,30-35m,103,6.650485436893204
Non Residential,1919-1944,35-40m,65,7.384615384615385
Non Residential,1919-1944,4-5m,2096,1.0
Non Residential,1919-1944,40-45m,29,8.96551724137931
Non Residential,1919-1944,45-50m,22,8.863636363636363
Non Residential,1919-1944,5-6m,3940,1.2682741116751268
Non Residential,1919-1944,50-55m,0,
Non Residential,1919-1944,55-60m,2,15.5
Non Residential,1919-1944,6-7m,2674,1.887434554973822
Non Residential,1919-1944,60-70m,0,
Non Residential,1919-1944,7-8m,4928,2.028409090909091
Non Residential,1919-1944,70-80m,0,
Non Residential,1919-1944,8-9m,13710,2.059299781181619
Non Residential,1919-1944,80-90m,0,
Non Residential,1919-1944,9-10m,18986,2.1247234804592856
Non Residential,1919-1944,90-100m,0,
Non Residential,"1919-1944,1945-1959",0-2m,0,
Non Residential,"1919-1944,1945-1959",10-12m,77,2.103896103896104
Non Residential,"1919-1944,1945-1959",100-200m,0,
Non Residential,"1919-1944,1945-1959",12-14m,12,2.6666666666666665
Non Residential,"1919-1944,1945-1959",14-16m,12,3.0833333333333335
Non Residential,"1919-1944,1945-1959",16-18m,10,3.1
Non Residential,"1919-1944,1945-1959",18-20m,3,4.0
Non Residential,"1919-1944,1945-1959",2-3m,0,
Non Residential,"1919-1944,1945-1959",20-25m,6,4.333333333333333
Non Residential,"1919-1944,1945-1959",25-30m,8,5.875
Non Residential,"1919-1944,1945-1959",3-4m,36,1.0
Non Residential,"1919-1944,1945-1959",30-35m,3,6.0
Non Residential,"1919-1944,1945-1959",35-40m,1,7.0
Non Residential,"1919-1944,1945-1959",4-5m,40,1.0
Non Residential,"1919-1944,1945-1959",40-45m,0,
Non Residential,"1919-1944,1945-1959",45-50m,0,
Non Residential,"1919-1944,1945-1959",5-6m,86,1.0348837209302326
Non Residential,"1919-1944,1945-1959",50-55m,0,
Non Residential,"1919-1944,1945-1959",55-60m,0,
Non Residential,"1919-1944,1945-1959",6-7m,30,1.4666666666666666
Non Residential,"1919-1944,1945-1959",60-70m,0,
Non Residential,"1919-1944,1945-1959",7-8m,8,2.0
Non Residential,"1919-1944,1945-1959",70-80m,0,
Non Residential,"1919-1944,1945-1959",8-9m,29,2.0344827586206895
Non Residential,"1919-1944,1945-1959",80-90m,0,
Non Residential,"1919-1944,1945-1959",9-10m,49,2.061224489795918
Non Residential,"1919-1944,1945-1959",90-100m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",0-2m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",10-12m,6,2.0
Non Residential,"1919-1944,1945-1959,1980-1989",100-200m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",12-14m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",14-16m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",16-18m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",18-20m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",2-3m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",20-25m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",25-30m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",3-4m,2,1.0
Non Residential,"1919-1944,1945-1959,1980-1989",30-35m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",35-40m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",4-5m,3,1.0
Non Residential,"1919-1944,1945-1959,1980-1989",40-45m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",45-50m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",5-6m,7,1.1428571428571428
Non Residential,"1919-1944,1945-1959,1980-1989",50-55m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",55-60m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",6-7m,1,1.0
Non Residential,"1919-1944,1945-1959,1980-1989",60-70m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",7-8m,1,2.0
Non Residential,"1919-1944,1945-1959,1980-1989",70-80m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",8-9m,1,2.0
Non Residential,"1919-1944,1945-1959,1980-1989",80-90m,0,
Non Residential,"1919-1944,1945-1959,1980-1989",9-10m,2,2.0
Non Residential,"1919-1944,1945-1959,1980-1989",90-100m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",0-2m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",10-12m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",100-200m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",12-14m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",14-16m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",16-18m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",18-20m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",2-3m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",20-25m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",25-30m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",3-4m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",30-35m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",35-40m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",4-5m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",40-45m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",45-50m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",5-6m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",50-55m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",55-60m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",6-7m,1,1.0
Non Residential,"1919-1944,1945-1959,1990-1999",60-70m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",7-8m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",70-80m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",8-9m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",80-90m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",9-10m,0,
Non Residential,"1919-1944,1945-1959,1990-1999",90-100m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",0-2m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",10-12m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",100-200m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",12-14m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",14-16m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",16-18m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",18-20m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",2-3m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",20-25m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",25-30m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",3-4m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",30-35m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",35-40m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",4-5m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",40-45m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",45-50m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",5-6m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",50-55m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",55-60m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",6-7m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",60-70m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",7-8m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",70-80m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",8-9m,1,2.0
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",80-90m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",9-10m,0,
Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",90-100m,0,
Non Residential,"1919-1944,1945-1959,Post 1999",0-2m,0,
Non Residential,"1919-1944,1945-1959,Post 1999",10-12m,0,
Non Residential,"1919-1944,1945-1959,Post 1999",100-200m,0,
Non Residential,"1919-1944,1945-1959,Post 1999",12-14m,2,3.0
Non Residential,"1919-1944,1945-1959,Post 1999",14-16m,0,
