,map_simple_use,premise_age,height_bucket,weighted_average_floor_count
1303,Non Residential,"1919-1944,1945-1959,Pre 1919",8-9m,1.3
1304,Non Residential,"1919-1944,1945-1959,Pre 1919",9-10m,1.263157894736842
1305,Non Residential,"1919-1944,1945-1959,Pre 1919",10-12m,1.6153846153846154
1306,Non Residential,"1919-1944,1945-1959,Pre 1919",12-14m,1.4285714285714286
1307,Non Residential,"1919-1944,1945-1959,Pre 1919",14-18m,1.8666666666666667
1308,Non Residential,"1919-1944,1945-1959,Pre 1919",18-20m,2.0
1309,Non Residential,"1919-1944,1945-1959,Pre 1919",20-30m,1.3333333333333333
1310,Non Residential,"1919-1944,1945-1959,Pre 1919",30-40m,4.0
1323,Non Residential,"1919-1944,1945-1959,Pre 1919,Unknown date",10-12m,1.0
1339,Non Residential,"1919-1944,1945-1959,Unknown date",8-9m,1.0
1340,Non Residential,"1919-1944,1945-1959,Unknown date",9-10m,1.0
1341,Non Residential,"1919-1944,1945-1959,Unknown date",10-12m,1.0
1343,Non Residential,"1919-1944,1945-1959,Unknown date",14-18m,1.0
1352,Non Residential,"1919-1944,1960-1979",3-4m,1.0769230769230769
1353,Non Residential,"1919-1944,1960-1979",4-5m,1.0
1354,Non Residential,"1919-1944,1960-1979",5-6m,1.0454545454545454
1355,Non Residential,"1919-1944,1960-1979",6-7m,1.096774193548387
1356,Non Residential,"1919-1944,1960-1979",7-8m,1.1636363636363636
1357,Non Residential,"1919-1944,1960-1979",8-9m,1.1388888888888888
1358,Non Residential,"1919-1944,1960-1979",9-10m,1.3333333333333333
1359,Non Residential,"1919-1944,1960-1979",10-12m,1.4454545454545455
1360,Non Residential,"1919-1944,1960-1979",12-14m,1.6140350877192982
1361,Non Residential,"1919-1944,1960-1979",14-18m,1.5833333333333333
1362,Non Residential,"1919-1944,1960-1979",18-20m,1.3571428571428572
1363,Non Residential,"1919-1944,1960-1979",20-30m,2.375
1364,Non Residential,"1919-1944,1960-1979",30-40m,2.3333333333333335
1365,Non Residential,"1919-1944,1960-1979",40-50m,1.0
1366,Non Residential,"1919-1944,1960-1979",50-100m,1.0
1369,Non Residential,"1919-1944,1980-1989",2-3m,1.0
1370,Non Residential,"1919-1944,1980-1989",3-4m,1.875
1371,Non Residential,"1919-1944,1980-1989",4-5m,1.0769230769230769
1372,Non Residential,"1919-1944,1980-1989",5-6m,1.0416666666666667
1373,Non Residential,"1919-1944,1980-1989",6-7m,1.0512820512820513
1374,Non Residential,"1919-1944,1980-1989",7-8m,1.163265306122449
1375,Non Residential,"1919-1944,1980-1989",8-9m,1.25
1376,Non Residential,"1919-1944,1980-1989",9-10m,1.1982758620689655
1377,Non Residential,"1919-1944,1980-1989",10-12m,1.372340425531915
1378,Non Residential,"1919-1944,1980-1989",12-14m,1.4383561643835616
1379,Non Residential,"1919-1944,1980-1989",14-18m,1.6363636363636365
1380,Non Residential,"1919-1944,1980-1989",18-20m,2.4444444444444446
1381,Non Residential,"1919-1944,1980-1989",20-30m,3.2
1382,Non Residential,"1919-1944,1980-1989",30-40m,5.6
1383,Non Residential,"1919-1944,1980-1989",40-50m,6.0
1384,Non Residential,"1919-1944,1980-1989",50-100m,5.75
1385,Non Residential,"1919-1944,1980-1989",100-200m,6.0
1389,Non Residential,"1919-1944,1980-1989,Pre 1919",4-5m,1.0
1391,Non Residential,"1919-1944,1980-1989,Pre 1919",6-7m,1.0
1392,Non Residential,"1919-1944,1980-1989,Pre 1919",7-8m,1.0
1393,Non Residential,"1919-1944,1980-1989,Pre 1919",8-9m,2.0
1394,Non Residential,"1919-1944,1980-1989,Pre 1919",9-10m,1.1428571428571428
1395,Non Residential,"1919-1944,1980-1989,Pre 1919",10-12m,1.6
1396,Non Residential,"1919-1944,1980-1989,Pre 1919",12-14m,1.6
1397,Non Residential,"1919-1944,1980-1989,Pre 1919",14-18m,2.0
1398,Non Residential,"1919-1944,1980-1989,Pre 1919",18-20m,4.0
1399,Non Residential,"1919-1944,1980-1989,Pre 1919",20-30m,1.0
1414,Non Residential,"1919-1944,1980-1989,Pre 1919,Unknown date",12-14m,1.0
1429,Non Residential,"1919-1944,1980-1989,Unknown date",8-9m,1.0
1431,Non Residential,"1919-1944,1980-1989,Unknown date",10-12m,1.0
1433,Non Residential,"1919-1944,1980-1989,Unknown date",14-18m,1.0
1443,Non Residential,"1919-1944,1990-1999",4-5m,1.0
1444,Non Residential,"1919-1944,1990-1999",5-6m,1.0
1445,Non Residential,"1919-1944,1990-1999",6-7m,1.0
1446,Non Residential,"1919-1944,1990-1999",7-8m,1.6666666666666667
1447,Non Residential,"1919-1944,1990-1999",8-9m,1.2857142857142858
1448,Non Residential,"1919-1944,1990-1999",9-10m,1.4166666666666667
1449,Non Residential,"1919-1944,1990-1999",10-12m,1.75
1450,Non Residential,"1919-1944,1990-1999",12-14m,1.6666666666666667
1451,Non Residential,"1919-1944,1990-1999",14-18m,2.3333333333333335
1452,Non Residential,"1919-1944,1990-1999",18-20m,3.0
1467,Non Residential,"1919-1944,1990-1999,Pre 1919",10-12m,1.0
1468,Non Residential,"1919-1944,1990-1999,Pre 1919",12-14m,2.0
1479,Non Residential,"1919-1944,Post 1999",4-5m,1.0
1480,Non Residential,"1919-1944,Post 1999",5-6m,1.0
1481,Non Residential,"1919-1944,Post 1999",6-7m,1.0
1482,Non Residential,"1919-1944,Post 1999",7-8m,1.1818181818181819
1483,Non Residential,"1919-1944,Post 1999",8-9m,1.0625
1484,Non Residential,"1919-1944,Post 1999",9-10m,1.375
1485,Non Residential,"1919-1944,Post 1999",10-12m,1.4761904761904763
1486,Non Residential,"1919-1944,Post 1999",12-14m,1.4
1487,Non Residential,"1919-1944,Post 1999",14-18m,1.6428571428571428
1488,Non Residential,"1919-1944,Post 1999",18-20m,1.8
1489,Non Residential,"1919-1944,Post 1999",20-30m,5.0
1490,Non Residential,"1919-1944,Post 1999",30-40m,1.0
1496,Non Residential,"1919-1944,Pre 1919",3-4m,1.3636363636363635
1497,Non Residential,"1919-1944,Pre 1919",4-5m,1.3333333333333333
1498,Non Residential,"1919-1944,Pre 1919",5-6m,1.2608695652173914
1499,Non Residential,"1919-1944,Pre 1919",6-7m,1.5142857142857142
1500,Non Residential,"1919-1944,Pre 1919",7-8m,1.475
1501,Non Residential,"1919-1944,Pre 1919",8-9m,1.488888888888889
1502,Non Residential,"1919-1944,Pre 1919",9-10m,1.687116564417178
1503,Non Residential,"1919-1944,Pre 1919",10-12m,1.8388888888888888
1504,Non Residential,"1919-1944,Pre 1919",12-14m,1.930232558139535
1505,Non Residential,"1919-1944,Pre 1919",14-18m,2.2738095238095237
1506,Non Residential,"1919-1944,Pre 1919",18-20m,2.2333333333333334
1507,Non Residential,"1919-1944,Pre 1919",20-30m,3.264705882352941
1508,Non Residential,"1919-1944,Pre 1919",30-40m,3.357142857142857
1509,Non Residential,"1919-1944,Pre 1919",40-50m,4.25
1510,Non Residential,"1919-1944,Pre 1919",50-100m,5.142857142857143
1511,Non Residential,"1919-1944,Pre 1919",100-200m,1.0
1516,Non Residential,"1919-1944,Pre 1919,Unknown date",5-6m,1.0
1517,Non Residential,"1919-1944,Pre 1919,Unknown date",6-7m,1.0
1522,Non Residential,"1919-1944,Pre 1919,Unknown date",12-14m,1.0
1532,Non Residential,"1919-1944,Unknown date",3-4m,1.0
1533,Non Residential,"1919-1944,Unknown date",4-5m,1.0
1534,Non Residential,"1919-1944,Unknown date",5-6m,1.0
1535,Non Residential,"1919-1944,Unknown date",6-7m,1.0
1536,Non Residential,"1919-1944,Unknown date",7-8m,1.0
1537,Non Residential,"1919-1944,Unknown date",8-9m,1.0
1538,Non Residential,"1919-1944,Unknown date",9-10m,1.1428571428571428
1539,Non Residential,"1919-1944,Unknown date",10-12m,1.1
1540,Non Residential,"1919-1944,Unknown date",12-14m,1.0
1541,Non Residential,"1919-1944,Unknown date",14-18m,1.0
1542,Non Residential,"1919-1944,Unknown date",18-20m,1.0
1548,Non Residential,1945-1959,0-2m,1.248968363136176
1549,Non Residential,1945-1959,2-3m,1.1119515885022693
1550,Non Residential,1945-1959,3-4m,1.1448638524708254
1551,Non Residential,1945-1959,4-5m,1.0996103263516805
1552,Non Residential,1945-1959,5-6m,1.151312649164678
1553,Non Residential,1945-1959,6-7m,1.2119107561420261
1554,Non Residential,1945-1959,7-8m,1.358661847524586
1555,Non Residential,1945-1959,8-9m,1.2713699141470698
1556,Non Residential,1945-1959,9-10m,1.299305006450539
1557,Non Residential,1945-1959,10-12m,1.4014477077959897
1558,Non Residential,1945-1959,12-14m,1.4248534583821806
1559,Non Residential,1945-1959,14-18m,1.4646918561995599
1560,Non Residential,1945-1959,18-20m,1.6069153776160146
1561,Non Residential,1945-1959,20-30m,2.6293103448275863
1562,Non Residential,1945-1959,30-40m,4.136666666666667
1563,Non Residential,1945-1959,40-50m,4.885350318471337
1564,Non Residential,1945-1959,50-100m,3.9906976744186045
1565,Non Residential,1945-1959,100-200m,4.4
1568,Non Residential,"1945-1959,1960-1979",3-4m,1.0
1569,Non Residential,"1945-1959,1960-1979",4-5m,1.0
1570,Non Residential,"1945-1959,1960-1979",5-6m,1.0
1571,Non Residential,"1945-1959,1960-1979",6-7m,1.0
1574,Non Residential,"1945-1959,1960-1979",9-10m,1.0
1577,Non Residential,"1945-1959,1960-1979",14-18m,1.5
1584,Non Residential,"1945-1959,1980-1989",0-2m,1.0
1585,Non Residential,"1945-1959,1980-1989",2-3m,1.0
1586,Non Residential,"1945-1959,1980-1989",3-4m,1.0217391304347827
1587,Non Residential,"1945-1959,1980-1989",4-5m,1.0071942446043165
1588,Non Residential,"1945-1959,1980-1989",5-6m,1.0206896551724138
1589,Non Residential,"1945-1959,1980-1989",6-7m,1.0492753623188407
1590,Non Residential,"1945-1959,1980-1989",7-8m,1.093841642228739
1591,Non Residential,"1945-1959,1980-1989",8-9m,1.0844854070660521
1592,Non Residential,"1945-1959,1980-1989",9-10m,1.11482254697286
1593,Non Residential,"1945-1959,1980-1989",10-12m,1.17601246105919
1594,Non Residential,"1945-1959,1980-1989",12-14m,1.2128205128205127
1595,Non Residential,"1945-1959,1980-1989",14-18m,1.3440594059405941
1596,Non Residential,"1945-1959,1980-1989",18-20m,1.4923076923076923
1597,Non Residential,"1945-1959,1980-1989",20-30m,2.3333333333333335
1598,Non Residential,"1945-1959,1980-1989",30-40m,3.0444444444444443
1599,Non Residential,"1945-1959,1980-1989",40-50m,2.875
1600,Non Residential,"1945-1959,1980-1989",50-100m,4.1
1601,Non Residential,"1945-1959,1980-1989",100-200m,1.0
1603,Non Residential,"1945-1959,1980-1989,Pre 1919",2-3m,1.0
1606,Non Residential,"1945-1959,1980-1989,Pre 1919",5-6m,1.0
1607,Non Residential,"1945-1959,1980-1989,Pre 1919",6-7m,1.2222222222222223
1608,Non Residential,"1945-1959,1980-1989,Pre 1919",7-8m,1.2
1609,Non Residential,"1945-1959,1980-1989,Pre 1919",8-9m,1.1538461538461537
1610,Non Residential,"1945-1959,1980-1989,Pre 1919",9-10m,1.2941176470588236
1611,Non Residential,"1945-1959,1980-1989,Pre 1919",10-12m,1.3243243243243243
1612,Non Residential,"1945-1959,1980-1989,Pre 1919",12-14m,1.5714285714285714
1613,Non Residential,"1945-1959,1980-1989,Pre 1919",14-18m,1.55
1614,Non Residential,"1945-1959,1980-1989,Pre 1919",18-20m,1.0
1615,Non Residential,"1945-1959,1980-1989,Pre 1919",20-30m,1.9166666666666667
1616,Non Residential,"1945-1959,1980-1989,Pre 1919",30-40m,3.3333333333333335
1617,Non Residential,"1945-1959,1980-1989,Pre 1919",40-50m,1.0
1628,Non Residential,"1945-1959,1980-1989,Pre 1919,Unknown date",9-10m,1.0
1629,Non Residential,"1945-1959,1980-1989,Pre 1919,Unknown date",10-12m,1.0
1631,Non Residential,"1945-1959,1980-1989,Pre 1919,Unknown date",14-18m,1.0
1640,Non Residential,"1945-1959,1980-1989,Unknown date",3-4m,1.0
1642,Non Residential,"1945-1959,1980-1989,Unknown date",5-6m,1.0
1643,Non Residential,"1945-1959,1980-1989,Unknown date",6-7m,1.0
1644,Non Residential,"1945-1959,1980-1989,Unknown date",7-8m,1.0
1645,Non Residential,"1945-1959,1980-1989,Unknown date",8-9m,1.0
1646,Non Residential,"1945-1959,1980-1989,Unknown date",9-10m,1.0
1647,Non Residential,"1945-1959,1980-1989,Unknown date",10-12m,1.0
1648,Non Residential,"1945-1959,1980-1989,Unknown date",12-14m,1.0
1649,Non Residential,"1945-1959,1980-1989,Unknown date",14-18m,1.0
1650,Non Residential,"1945-1959,1980-1989,Unknown date",18-20m,1.0
1651,Non Residential,"1945-1959,1980-1989,Unknown date",20-30m,1.0
1658,Non Residential,"1945-1959,1990-1999",3-4m,1.0
1659,Non Residential,"1945-1959,1990-1999",4-5m,1.0
1660,Non Residential,"1945-1959,1990-1999",5-6m,1.0
1661,Non Residential,"1945-1959,1990-1999",6-7m,1.0454545454545454
1662,Non Residential,"1945-1959,1990-1999",7-8m,1.1063829787234043
1663,Non Residential,"1945-1959,1990-1999",8-9m,1.1774193548387097
1664,Non Residential,"1945-1959,1990-1999",9-10m,1.0970873786407767
1665,Non Residential,"1945-1959,1990-1999",10-12m,1.15
1666,Non Residential,"1945-1959,1990-1999",12-14m,1.2307692307692308
1667,Non Residential,"1945-1959,1990-1999",14-18m,1.3235294117647058
1668,Non Residential,"1945-1959,1990-1999",18-20m,1.5
1669,Non Residential,"1945-1959,1990-1999",20-30m,1.6666666666666667
1670,Non Residential,"1945-1959,1990-1999",30-40m,1.0
1671,Non Residential,"1945-1959,1990-1999",40-50m,1.0
1672,Non Residential,"1945-1959,1990-1999",50-100m,1.0
1677,Non Residential,"1945-1959,1990-1999,Pre 1919",4-5m,1.0
1679,Non Residential,"1945-1959,1990-1999,Pre 1919",6-7m,1.0
1681,Non Residential,"1945-1959,1990-1999,Pre 1919",8-9m,1.5
1682,Non Residential,"1945-1959,1990-1999,Pre 1919",9-10m,1.0
1683,Non Residential,"1945-1959,1990-1999,Pre 1919",10-12m,1.3333333333333333
1684,Non Residential,"1945-1959,1990-1999,Pre 1919",12-14m,2.0
1685,Non Residential,"1945-1959,1990-1999,Pre 1919",14-18m,2.0
1688,Non Residential,"1945-1959,1990-1999,Pre 1919",30-40m,1.5
1699,Non Residential,"1945-1959,1990-1999,Unknown date",8-9m,1.0
1700,Non Residential,"1945-1959,1990-1999,Unknown date",9-10m,1.0
1701,Non Residential,"1945-1959,1990-1999,Unknown date",10-12m,1.0
1712,Non Residential,"1945-1959,Post 1999",3-4m,1.0
1713,Non Residential,"1945-1959,Post 1999",4-5m,1.0833333333333333
1714,Non Residential,"1945-1959,Post 1999",5-6m,1.037037037037037
1715,Non Residential,"1945-1959,Post 1999",6-7m,1.0232558139534884
1716,Non Residential,"1945-1959,Post 1999",7-8m,1.0666666666666667
1717,Non Residential,"1945-1959,Post 1999",8-9m,1.0705882352941176
1718,Non Residential,"1945-1959,Post 1999",9-10m,1.072289156626506
1719,Non Residential,"1945-1959,Post 1999",10-12m,1.1647058823529413
1720,Non Residential,"1945-1959,Post 1999",12-14m,1.471698113207547
1721,Non Residential,"1945-1959,Post 1999",14-18m,1.2380952380952381
1722,Non Residential,"1945-1959,Post 1999",18-20m,1.7142857142857142
1723,Non Residential,"1945-1959,Post 1999",20-30m,3.076923076923077
1724,Non Residential,"1945-1959,Post 1999",30-40m,3.0
1725,Non Residential,"1945-1959,Post 1999",40-50m,1.0
1726,Non Residential,"1945-1959,Post 1999",50-100m,1.5
1732,Non Residential,"1945-1959,Post 1999,Unknown date",5-6m,1.0
1733,Non Residential,"1945-1959,Post 1999,Unknown date",6-7m,1.0
1736,Non Residential,"1945-1959,Post 1999,Unknown date",9-10m,1.0
1740,Non Residential,"1945-1959,Post 1999,Unknown date",18-20m,1.0
1741,Non Residential,"1945-1959,Post 1999,Unknown date",20-30m,1.0
1748,Non Residential,"1945-1959,Pre 1919",3-4m,1.1724137931034482
1749,Non Residential,"1945-1959,Pre 1919",4-5m,1.0
1750,Non Residential,"1945-1959,Pre 1919",5-6m,1.0666666666666667
1751,Non Residential,"1945-1959,Pre 1919",6-7m,1.1973684210526316
1752,Non Residential,"1945-1959,Pre 1919",7-8m,1.2115384615384615
1753,Non Residential,"1945-1959,Pre 1919",8-9m,1.3375
1754,Non Residential,"1945-1959,Pre 1919",9-10m,1.456824512534819
1755,Non Residential,"1945-1959,Pre 1919",10-12m,1.6216666666666666
1756,Non Residential,"1945-1959,Pre 1919",12-14m,1.8310185185185186
1757,Non Residential,"1945-1959,Pre 1919",14-18m,1.8884758364312269
1758,Non Residential,"1945-1959,Pre 1919",18-20m,2.1372549019607843
1759,Non Residential,"1945-1959,Pre 1919",20-30m,2.508771929824561
1760,Non Residential,"1945-1959,Pre 1919",30-40m,3.6451612903225805
1761,Non Residential,"1945-1959,Pre 1919",40-50m,3.3333333333333335
1762,Non Residential,"1945-1959,Pre 1919",50-100m,3.0
1768,Non Residential,"1945-1959,Pre 1919,Unknown date",5-6m,1.0
1769,Non Residential,"1945-1959,Pre 1919,Unknown date",6-7m,1.0
1770,Non Residential,"1945-1959,Pre 1919,Unknown date",7-8m,1.0
1771,Non Residential,"1945-1959,Pre 1919,Unknown date",8-9m,1.0
1772,Non Residential,"1945-1959,Pre 1919,Unknown date",9-10m,1.0
1773,Non Residential,"1945-1959,Pre 1919,Unknown date",10-12m,1.0
1774,Non Residential,"1945-1959,Pre 1919,Unknown date",12-14m,1.0
1775,Non Residential,"1945-1959,Pre 1919,Unknown date",14-18m,1.0
1784,Non Residential,"1945-1959,Unknown date",3-4m,1.0
1785,Non Residential,"1945-1959,Unknown date",4-5m,1.0
1786,Non Residential,"1945-1959,Unknown date",5-6m,1.0
1787,Non Residential,"1945-1959,Unknown date",6-7m,1.0
1788,Non Residential,"1945-1959,Unknown date",7-8m,1.0277777777777777
1789,Non Residential,"1945-1959,Unknown date",8-9m,1.0
1790,Non Residential,"1945-1959,Unknown date",9-10m,1.1090909090909091
1791,Non Residential,"1945-1959,Unknown date",10-12m,1.0263157894736843
1792,Non Residential,"1945-1959,Unknown date",12-14m,1.0
1793,Non Residential,"1945-1959,Unknown date",14-18m,1.0
1794,Non Residential,"1945-1959,Unknown date",18-20m,1.0
1795,Non Residential,"1945-1959,Unknown date",20-30m,1.0
1798,Non Residential,"1945-1959,Unknown date",50-100m,1.0
1800,Non Residential,1960-1979,0-2m,1.6470588235294117
1801,Non Residential,1960-1979,2-3m,1.0825688073394495
1802,Non Residential,1960-1979,3-4m,1.234192037470726
1803,Non Residential,1960-1979,4-5m,1.2271237711116714
1804,Non Residential,1960-1979,5-6m,1.224062613760466
1805,Non Residential,1960-1979,6-7m,1.404412875925646
1806,Non Residential,1960-1979,7-8m,1.5452905553408065
1807,Non Residential,1960-1979,8-9m,1.365827884551879
1808,Non Residential,1960-1979,9-10m,1.3712332589285714
1809,Non Residential,1960-1979,10-12m,1.5660432071915324
1810,Non Residential,1960-1979,12-14m,1.7485457429931253
1811,Non Residential,1960-1979,14-18m,1.8748812915479582
1812,Non Residential,1960-1979,18-20m,2.262686567164179
1813,Non Residential,1960-1979,20-30m,3.617580766341097
1814,Non Residential,1960-1979,30-40m,5.741071428571429
1815,Non Residential,1960-1979,40-50m,6.232323232323233
1816,Non Residential,1960-1979,50-100m,5.701219512195122
1817,Non Residential,1960-1979,100-200m,8.470588235294118
1825,Non Residential,"1960-1979,1980-1989",8-9m,1.3333333333333333
1827,Non Residential,"1960-1979,1980-1989",10-12m,1.5
1842,Non Residential,"1960-1979,Pre 1919",7-8m,1.0
1844,Non Residential,"1960-1979,Pre 1919",9-10m,1.0
1846,Non Residential,"1960-1979,Pre 1919",12-14m,3.0
1856,Non Residential,"1960-1979,Unknown date",3-4m,1.0
1857,Non Residential,"1960-1979,Unknown date",4-5m,1.0
1858,Non Residential,"1960-1979,Unknown date",5-6m,1.0
1859,Non Residential,"1960-1979,Unknown date",6-7m,1.0
1860,Non Residential,"1960-1979,Unknown date",7-8m,1.0
1861,Non Residential,"1960-1979,Unknown date",8-9m,1.0625
1862,Non Residential,"1960-1979,Unknown date",9-10m,1.0476190476190477
1863,Non Residential,"1960-1979,Unknown date",10-12m,1.0
1864,Non Residential,"1960-1979,Unknown date",12-14m,1.0
1865,Non Residential,"1960-1979,Unknown date",14-18m,1.7142857142857142
1866,Non Residential,"1960-1979,Unknown date",18-20m,1.0
1867,Non Residential,"1960-1979,Unknown date",20-30m,1.0
1872,Non Residential,1980-1989,0-2m,1.4837988826815642
1873,Non Residential,1980-1989,2-3m,1.344390243902439
1874,Non Residential,1980-1989,3-4m,1.3234669943035855
1875,Non Residential,1980-1989,4-5m,1.2091927680162975
1876,Non Residential,1980-1989,5-6m,1.1753300820744617
1877,Non Residential,1980-1989,6-7m,1.2548171936758894
1878,Non Residential,1980-1989,7-8m,1.4026467078858877
1879,Non Residential,1980-1989,8-9m,1.37044627760414
1880,Non Residential,1980-1989,9-10m,1.4419492147365331
1881,Non Residential,1980-1989,10-12m,1.6762080010904383
1882,Non Residential,1980-1989,12-14m,1.7226634086744044
1883,Non Residential,1980-1989,14-18m,1.9221170756218071
1884,Non Residential,1980-1989,18-20m,2.2026666666666666
1885,Non Residential,1980-1989,20-30m,3.619524870081663
1886,Non Residential,1980-1989,30-40m,5.305841924398625
1887,Non Residential,1980-1989,40-50m,5.988919667590028
1888,Non Residential,1980-1989,50-100m,7.168900804289544
1889,Non Residential,1980-1989,100-200m,10.4
1899,Non Residential,"1980-1989,1990-1999",10-12m,2.0
1900,Non Residential,"1980-1989,1990-1999",12-14m,2.0
1921,Non Residential,"1980-1989,Post 1999",20-30m,5.0
1925,Non Residential,"1980-1989,Post 1999",100-200m,5.0
1928,Non Residential,"1980-1989,Pre 1919",3-4m,1.0833333333333333
1929,Non Residential,"1980-1989,Pre 1919",4-5m,1.2608695652173914
1930,Non Residential,"1980-1989,Pre 1919",5-6m,1.125
1931,Non Residential,"1980-1989,Pre 1919",6-7m,1.2758620689655173
1932,Non Residential,"1980-1989,Pre 1919",7-8m,1.3972602739726028
1933,Non Residential,"1980-1989,Pre 1919",8-9m,1.494047619047619
1934,Non Residential,"1980-1989,Pre 1919",9-10m,1.5246913580246915
1935,Non Residential,"1980-1989,Pre 1919",10-12m,1.7751937984496124
1936,Non Residential,"1980-1989,Pre 1919",12-14m,2.061433447098976
1937,Non Residential,"1980-1989,Pre 1919",14-18m,2.179930795847751
1938,Non Residential,"1980-1989,Pre 1919",18-20m,2.6301369863013697
1939,Non Residential,"1980-1989,Pre 1919",20-30m,3.286624203821656
1940,Non Residential,"1980-1989,Pre 1919",30-40m,4.415094339622642
1941,Non Residential,"1980-1989,Pre 1919",40-50m,4.466666666666667
1942,Non Residential,"1980-1989,Pre 1919",50-100m,3.8333333333333335
1949,Non Residential,"1980-1989,Pre 1919,Unknown date",6-7m,1.0
1953,Non Residential,"1980-1989,Pre 1919,Unknown date",10-12m,1.0
1954,Non Residential,"1980-1989,Pre 1919,Unknown date",12-14m,1.0
1955,Non Residential,"1980-1989,Pre 1919,Unknown date",14-18m,1.0
1962,Non Residential,"1980-1989,Unknown date",0-2m,1.0
1963,Non Residential,"1980-1989,Unknown date",2-3m,1.0
1964,Non Residential,"1980-1989,Unknown date",3-4m,1.0
1965,Non Residential,"1980-1989,Unknown date",4-5m,1.0
1966,Non Residential,"1980-1989,Unknown date",5-6m,1.0
1967,Non Residential,"1980-1989,Unknown date",6-7m,1.0476190476190477
1968,Non Residential,"1980-1989,Unknown date",7-8m,1.0
1969,Non Residential,"1980-1989,Unknown date",8-9m,1.0285714285714285
1970,Non Residential,"1980-1989,Unknown date",9-10m,1.0476190476190477
1971,Non Residential,"1980-1989,Unknown date",10-12m,1.0526315789473684
1972,Non Residential,"1980-1989,Unknown date",12-14m,1.0476190476190477
1973,Non Residential,"1980-1989,Unknown date",14-18m,1.24
1974,Non Residential,"1980-1989,Unknown date",18-20m,1.6
1975,Non Residential,"1980-1989,Unknown date",20-30m,2.142857142857143
1976,Non Residential,"1980-1989,Unknown date",30-40m,1.0
1980,Non Residential,1990-1999,0-2m,1.1794871794871795
1981,Non Residential,1990-1999,2-3m,1.170731707317073
1982,Non Residential,1990-1999,3-4m,1.3319057815845825
1983,Non Residential,1990-1999,4-5m,1.2426383981154299
1984,Non Residential,1990-1999,5-6m,1.235080058224163
1985,Non Residential,1990-1999,6-7m,1.3093694755450795
1986,Non Residential,1990-1999,7-8m,1.5473465140478668
1987,Non Residential,1990-1999,8-9m,1.4822363500373972
1988,Non Residential,1990-1999,9-10m,1.51628664495114
1989,Non Residential,1990-1999,10-12m,1.7884565833548054
1990,Non Residential,1990-1999,12-14m,2.042775169535733
1991,Non Residential,1990-1999,14-18m,2.2119679730299198
1992,Non Residential,1990-1999,18-20m,2.5657620041753653
1993,Non Residential,1990-1999,20-30m,3.8795562599049127
1994,Non Residential,1990-1999,30-40m,5.463855421686747
1995,Non Residential,1990-1999,40-50m,6.717391304347826
1996,Non Residential,1990-1999,50-100m,6.230769230769231
1997,Non Residential,1990-1999,100-200m,9.0
2008,Non Residential,"1990-1999,Post 1999",12-14m,1.0
2024,Non Residential,"1990-1999,Post 1999,Pre 1919",9-10m,2.0
2036,Non Residential,"1990-1999,Pre 1919",3-4m,1.0
2037,Non Residential,"1990-1999,Pre 1919",4-5m,1.3333333333333333
2038,Non Residential,"1990-1999,Pre 1919",5-6m,1.0
2039,Non Residential,"1990-1999,Pre 1919",6-7m,1.0
2040,Non Residential,"1990-1999,Pre 1919",7-8m,1.3
2041,Non Residential,"1990-1999,Pre 1919",8-9m,1.5263157894736843
2042,Non Residential,"1990-1999,Pre 1919",9-10m,1.565217391304348
2043,Non Residential,"1990-1999,Pre 1919",10-12m,1.7297297297297298
2044,Non Residential,"1990-1999,Pre 1919",12-14m,2.1153846153846154
2045,Non Residential,"1990-1999,Pre 1919",14-18m,1.9714285714285715
2046,Non Residential,"1990-1999,Pre 1919",18-20m,2.5
2047,Non Residential,"1990-1999,Pre 1919",20-30m,3.142857142857143
2048,Non Residential,"1990-1999,Pre 1919",30-40m,3.0
2051,Non Residential,"1990-1999,Pre 1919",100-200m,6.0
2056,Non Residential,"1990-1999,Unknown date",5-6m,1.0
2057,Non Residential,"1990-1999,Unknown date",6-7m,1.0
2058,Non Residential,"1990-1999,Unknown date",7-8m,1.0
2059,Non Residential,"1990-1999,Unknown date",8-9m,1.0
2060,Non Residential,"1990-1999,Unknown date",9-10m,1.0
2061,Non Residential,"1990-1999,Unknown date",10-12m,1.0
2063,Non Residential,"1990-1999,Unknown date",14-18m,1.0
2065,Non Residential,"1990-1999,Unknown date",20-30m,1.0
2070,Non Residential,Post 1999,0-2m,1.051454138702461
2071,Non Residential,Post 1999,2-3m,1.0788912579957357
2072,Non Residential,Post 1999,3-4m,1.5066744051073708
2073,Non Residential,Post 1999,4-5m,1.413776493256262
2074,Non Residential,Post 1999,5-6m,1.3638089212274596
2075,Non Residential,Post 1999,6-7m,1.4203192297947809
2076,Non Residential,Post 1999,7-8m,1.5836958272917674
2077,Non Residential,Post 1999,8-9m,1.5486572834815646
2078,Non Residential,Post 1999,9-10m,1.5471884498480244
2079,Non Residential,Post 1999,10-12m,1.7554165735983918
2080,Non Residential,Post 1999,12-14m,2.006813186813187
2081,Non Residential,Post 1999,14-18m,2.2129545865749956
2082,Non Residential,Post 1999,18-20m,2.7452830188679247
2083,Non Residential,Post 1999,20-30m,4.097796143250688
2084,Non Residential,Post 1999,30-40m,5.547215496368039
2085,Non Residential,Post 1999,40-50m,6.58282208588957
2086,Non Residential,Post 1999,50-100m,9.11731843575419
2087,Non Residential,Post 1999,100-200m,11.5
