,map_simple_use,premise_age,height_bucket,weighted_average_floor_count
280,Mixed Use,"1919-1944,1980-1989",12-14m,2.5
281,Mixed Use,"1919-1944,1980-1989",14-18m,2.75
282,Mixed Use,"1919-1944,1980-1989",18-20m,3.3333333333333335
283,Mixed Use,"1919-1944,1980-1989",20-30m,3.857142857142857
284,Mixed Use,"1919-1944,1980-1989",30-40m,5.0
286,Mixed Use,"1919-1944,1980-1989",50-100m,4.0
297,Mixed Use,"1919-1944,1980-1989,Pre 1919",10-12m,2.0
299,Mixed Use,"1919-1944,1980-1989,Pre 1919",14-18m,2.5
301,Mixed Use,"1919-1944,1980-1989,Pre 1919",20-30m,5.0
347,Mixed Use,"1919-1944,1990-1999",6-7m,3.0
348,Mixed Use,"1919-1944,1990-1999",7-8m,2.0
349,Mixed Use,"1919-1944,1990-1999",8-9m,2.0
350,Mixed Use,"1919-1944,1990-1999",9-10m,2.2
351,Mixed Use,"1919-1944,1990-1999",10-12m,2.0
383,Mixed Use,"1919-1944,Post 1999",6-7m,2.0
385,Mixed Use,"1919-1944,Post 1999",8-9m,1.75
386,Mixed Use,"1919-1944,Post 1999",9-10m,2.0
387,Mixed Use,"1919-1944,Post 1999",10-12m,2.0
388,Mixed Use,"1919-1944,Post 1999",12-14m,2.0
390,Mixed Use,"1919-1944,Post 1999",18-20m,2.0
400,Mixed Use,"1919-1944,Pre 1919",5-6m,2.2
401,Mixed Use,"1919-1944,Pre 1919",6-7m,2.0
402,Mixed Use,"1919-1944,Pre 1919",7-8m,2.1739130434782608
403,Mixed Use,"1919-1944,Pre 1919",8-9m,2.1346153846153846
404,Mixed Use,"1919-1944,Pre 1919",9-10m,2.0232558139534884
405,Mixed Use,"1919-1944,Pre 1919",10-12m,2.2888888888888888
406,Mixed Use,"1919-1944,Pre 1919",12-14m,2.608695652173913
407,Mixed Use,"1919-1944,Pre 1919",14-18m,2.8255813953488373
408,Mixed Use,"1919-1944,Pre 1919",18-20m,3.15
409,Mixed Use,"1919-1944,Pre 1919",20-30m,3.6666666666666665
410,Mixed Use,"1919-1944,Pre 1919",30-40m,4.631578947368421
412,Mixed Use,"1919-1944,Pre 1919",50-100m,3.5
443,Mixed Use,"1919-1944,Unknown date",14-18m,2.0
450,Mixed Use,1945-1959,0-2m,1.8484848484848484
451,Mixed Use,1945-1959,2-3m,2.268292682926829
452,Mixed Use,1945-1959,3-4m,2.372801875732708
453,Mixed Use,1945-1959,4-5m,2.327313769751693
454,Mixed Use,1945-1959,5-6m,2.949425287356322
455,Mixed Use,1945-1959,6-7m,2.063100137174211
456,Mixed Use,1945-1959,7-8m,2.142857142857143
457,Mixed Use,1945-1959,8-9m,2.1710493363385925
458,Mixed Use,1945-1959,9-10m,2.294874544284795
459,Mixed Use,1945-1959,10-12m,2.6343973120537587
460,Mixed Use,1945-1959,12-14m,2.847274085138163
461,Mixed Use,1945-1959,14-18m,2.907919847328244
462,Mixed Use,1945-1959,18-20m,3.4149377593360994
463,Mixed Use,1945-1959,20-30m,4.091025641025641
464,Mixed Use,1945-1959,30-40m,4.425925925925926
465,Mixed Use,1945-1959,40-50m,5.732673267326732
466,Mixed Use,1945-1959,50-100m,4.318681318681318
488,Mixed Use,"1945-1959,1980-1989",3-4m,1.0
489,Mixed Use,"1945-1959,1980-1989",4-5m,2.0
491,Mixed Use,"1945-1959,1980-1989",6-7m,2.0
492,Mixed Use,"1945-1959,1980-1989",7-8m,1.8333333333333333
493,Mixed Use,"1945-1959,1980-1989",8-9m,1.5454545454545454
494,Mixed Use,"1945-1959,1980-1989",9-10m,2.1176470588235294
495,Mixed Use,"1945-1959,1980-1989",10-12m,2.260869565217391
496,Mixed Use,"1945-1959,1980-1989",12-14m,2.6842105263157894
497,Mixed Use,"1945-1959,1980-1989",14-18m,2.869565217391304
498,Mixed Use,"1945-1959,1980-1989",18-20m,2.4
499,Mixed Use,"1945-1959,1980-1989",20-30m,3.1538461538461537
500,Mixed Use,"1945-1959,1980-1989",30-40m,3.6666666666666665
502,Mixed Use,"1945-1959,1980-1989",50-100m,2.0
510,Mixed Use,"1945-1959,1980-1989,Pre 1919",7-8m,2.0
512,Mixed Use,"1945-1959,1980-1989,Pre 1919",9-10m,2.0
513,Mixed Use,"1945-1959,1980-1989,Pre 1919",10-12m,2.0
514,Mixed Use,"1945-1959,1980-1989,Pre 1919",12-14m,3.5
515,Mixed Use,"1945-1959,1980-1989,Pre 1919",14-18m,2.6
517,Mixed Use,"1945-1959,1980-1989,Pre 1919",20-30m,2.5
518,Mixed Use,"1945-1959,1980-1989,Pre 1919",30-40m,5.0
564,Mixed Use,"1945-1959,1990-1999",7-8m,2.0
565,Mixed Use,"1945-1959,1990-1999",8-9m,2.0
566,Mixed Use,"1945-1959,1990-1999",9-10m,2.0
567,Mixed Use,"1945-1959,1990-1999",10-12m,2.2
568,Mixed Use,"1945-1959,1990-1999",12-14m,3.0
569,Mixed Use,"1945-1959,1990-1999",14-18m,3.0
570,Mixed Use,"1945-1959,1990-1999",18-20m,2.0
572,Mixed Use,"1945-1959,1990-1999",30-40m,5.0
584,Mixed Use,"1945-1959,1990-1999,Pre 1919",9-10m,2.0
587,Mixed Use,"1945-1959,1990-1999,Pre 1919",14-18m,3.0
617,Mixed Use,"1945-1959,Post 1999",6-7m,1.0
618,Mixed Use,"1945-1959,Post 1999",7-8m,2.0
619,Mixed Use,"1945-1959,Post 1999",8-9m,1.0
620,Mixed Use,"1945-1959,Post 1999",9-10m,2.0
621,Mixed Use,"1945-1959,Post 1999",10-12m,2.0
622,Mixed Use,"1945-1959,Post 1999",12-14m,3.0
623,Mixed Use,"1945-1959,Post 1999",14-18m,3.0
625,Mixed Use,"1945-1959,Post 1999",20-30m,2.6666666666666665
650,Mixed Use,"1945-1959,Pre 1919",3-4m,2.0
651,Mixed Use,"1945-1959,Pre 1919",4-5m,2.0
652,Mixed Use,"1945-1959,Pre 1919",5-6m,2.25
653,Mixed Use,"1945-1959,Pre 1919",6-7m,2.0476190476190474
654,Mixed Use,"1945-1959,Pre 1919",7-8m,1.9743589743589745
655,Mixed Use,"1945-1959,Pre 1919",8-9m,2.0618556701030926
656,Mixed Use,"1945-1959,Pre 1919",9-10m,2.116279069767442
657,Mixed Use,"1945-1959,Pre 1919",10-12m,2.2134831460674156
658,Mixed Use,"1945-1959,Pre 1919",12-14m,2.5704697986577183
659,Mixed Use,"1945-1959,Pre 1919",14-18m,2.876923076923077
660,Mixed Use,"1945-1959,Pre 1919",18-20m,3.0217391304347827
661,Mixed Use,"1945-1959,Pre 1919",20-30m,3.7333333333333334
662,Mixed Use,"1945-1959,Pre 1919",30-40m,4.777777777777778
663,Mixed Use,"1945-1959,Pre 1919",40-50m,4.625
664,Mixed Use,"1945-1959,Pre 1919",50-100m,3.4
691,Mixed Use,"1945-1959,Unknown date",8-9m,1.0
692,Mixed Use,"1945-1959,Unknown date",9-10m,1.0
697,Mixed Use,"1945-1959,Unknown date",20-30m,1.0
703,Mixed Use,1960-1979,2-3m,1.5
704,Mixed Use,1960-1979,3-4m,1.9666666666666666
705,Mixed Use,1960-1979,4-5m,2.081967213114754
706,Mixed Use,1960-1979,5-6m,1.7894736842105263
707,Mixed Use,1960-1979,6-7m,1.977142857142857
708,Mixed Use,1960-1979,7-8m,2.033613445378151
709,Mixed Use,1960-1979,8-9m,2.1395598497047774
710,Mixed Use,1960-1979,9-10m,2.2763684913217626
711,Mixed Use,1960-1979,10-12m,2.641445126107703
712,Mixed Use,1960-1979,12-14m,2.730769230769231
713,Mixed Use,1960-1979,14-18m,2.9944237918215615
714,Mixed Use,1960-1979,18-20m,3.5533980582524274
715,Mixed Use,1960-1979,20-30m,3.4864864864864864
716,Mixed Use,1960-1979,30-40m,5.166666666666667
717,Mixed Use,1960-1979,40-50m,5.285714285714286
718,Mixed Use,1960-1979,50-100m,3.0444444444444443
774,Mixed Use,1980-1989,0-2m,3.2
775,Mixed Use,1980-1989,2-3m,2.142857142857143
776,Mixed Use,1980-1989,3-4m,2.0442477876106193
777,Mixed Use,1980-1989,4-5m,2.049645390070922
778,Mixed Use,1980-1989,5-6m,2.239669421487603
779,Mixed Use,1980-1989,6-7m,2.2468354430379747
780,Mixed Use,1980-1989,7-8m,2.170028818443804
