,map_simple_use,premise_age,premise_floor_count,weighted_average_height
936,Mixed Use,"1960-1979,Unknown date","2,3,Undetermined",20.7
937,Mixed Use,"1960-1979,Unknown date","2,Undetermined",10.056249999999999
938,Mixed Use,"1960-1979,Unknown date","3,9,Undetermined",51.8
939,Mixed Use,"1960-1979,Unknown date","3,Undetermined",21.675
940,Mixed Use,"1960-1979,Unknown date","4,5,Undetermined",23.7
941,Mixed Use,1980-1989,1,8.146168958742633
942,Mixed Use,1980-1989,"1,10,12,14,18,24",83.8
943,Mixed Use,1980-1989,"1,12,24",76.4
944,Mixed Use,1980-1989,"1,13,2,6,9",42.9
945,Mixed Use,1980-1989,"1,13,6",39.2
946,Mixed Use,1980-1989,"1,2",11.140206185567012
947,Mixed Use,1980-1989,"1,2,3",23.4
948,Mixed Use,1980-1989,"1,2,3,5",24.1
949,Mixed Use,1980-1989,"1,2,3,5,8",30.2
950,Mixed Use,1980-1989,"1,3",12.19782608695652
951,Mixed Use,1980-1989,"1,3,4",14.974999999999998
952,Mixed Use,1980-1989,"1,4",16.80909090909091
953,Mixed Use,1980-1989,"1,4,5,6,9",47.6
954,Mixed Use,1980-1989,"1,5",13.139999999999997
955,Mixed Use,1980-1989,"1,6",24.8
956,Mixed Use,1980-1989,"1,8",33.7
957,Mixed Use,1980-1989,10,40.894594594594594
958,Mixed Use,1980-1989,"10,11,12,13,15,3,6,7,8,9",56.2
959,Mixed Use,1980-1989,"10,12,13",45.2
960,Mixed Use,1980-1989,"10,14",62.7
961,Mixed Use,1980-1989,"10,14,6",57.3
962,Mixed Use,1980-1989,"10,2",42.6
963,Mixed Use,1980-1989,"10,3",47.4
964,Mixed Use,1980-1989,"10,3,4,6,8",35.9
965,Mixed Use,1980-1989,"10,4,Undetermined",48.9
966,Mixed Use,1980-1989,"10,6",42.7
967,Mixed Use,1980-1989,"10,7",27.1
968,Mixed Use,1980-1989,"10,8",31.0
969,Mixed Use,1980-1989,"10,9",42.7
970,Mixed Use,1980-1989,"10,Undetermined",46.3
971,Mixed Use,1980-1989,11,37.86923076923077
972,Mixed Use,1980-1989,"11,16,8",49.6
973,Mixed Use,1980-1989,"11,2",34.2
974,Mixed Use,1980-1989,"11,2,20",71.3
975,Mixed Use,1980-1989,"11,9",37.9
976,Mixed Use,1980-1989,12,38.385714285714286
977,Mixed Use,1980-1989,"12,14",51.8
978,Mixed Use,1980-1989,"12,14,3",51.8
979,Mixed Use,1980-1989,"12,2",78.1
980,Mixed Use,1980-1989,"12,21",93.1
981,Mixed Use,1980-1989,"12,3",56.0
982,Mixed Use,1980-1989,"12,4",48.8
983,Mixed Use,1980-1989,"12,5",42.7
984,Mixed Use,1980-1989,"12,6",38.8
985,Mixed Use,1980-1989,"12,7",57.1
986,Mixed Use,1980-1989,"12,8",41.6
987,Mixed Use,1980-1989,13,51.93333333333334
988,Mixed Use,1980-1989,"13,3",49.9
989,Mixed Use,1980-1989,"13,5",39.0
990,Mixed Use,1980-1989,"13,7",40.3
991,Mixed Use,1980-1989,"13,8",42.8
992,Mixed Use,1980-1989,"13,9",42.9
993,Mixed Use,1980-1989,14,35.1
994,Mixed Use,1980-1989,"14,2,6",45.1
995,Mixed Use,1980-1989,"14,9",32.6
996,Mixed Use,1980-1989,15,52.8
997,Mixed Use,1980-1989,"15,7,9",23.9
998,Mixed Use,1980-1989,"15,8",70.75
999,Mixed Use,1980-1989,16,58.1
1000,Mixed Use,1980-1989,17,71.9
1001,Mixed Use,1980-1989,"17,3",64.5
1002,Mixed Use,1980-1989,"17,5",79.6
1003,Mixed Use,1980-1989,"17,9",54.0
1004,Mixed Use,1980-1989,18,37.45
1005,Mixed Use,1980-1989,"18,3",59.2
1006,Mixed Use,1980-1989,"18,8",69.0
1007,Mixed Use,1980-1989,19,58.0
1008,Mixed Use,1980-1989,"19,5",57.5
1009,Mixed Use,1980-1989,2,9.813518232985237
1010,Mixed Use,1980-1989,"2,3",15.340909090909093
1011,Mixed Use,1980-1989,"2,3,4,5",18.5
1012,Mixed Use,1980-1989,"2,3,4,Undetermined",31.2
1013,Mixed Use,1980-1989,"2,3,5",19.3
1014,Mixed Use,1980-1989,"2,3,6",24.3
1015,Mixed Use,1980-1989,"2,3,Undetermined",19.5
1016,Mixed Use,1980-1989,"2,4",16.62
1017,Mixed Use,1980-1989,"2,4,5,6,7",15.7
1018,Mixed Use,1980-1989,"2,5",20.875
1019,Mixed Use,1980-1989,"2,5,6,7",21.3
1020,Mixed Use,1980-1989,"2,6",30.133333333333336
1021,Mixed Use,1980-1989,"2,8",33.1
1022,Mixed Use,1980-1989,20,54.9
1023,Mixed Use,1980-1989,"21,5",12.6
1024,Mixed Use,1980-1989,23,12.8
1025,Mixed Use,1980-1989,24,21.5
1026,Mixed Use,1980-1989,26,73.3
1027,Mixed Use,1980-1989,27,77.0
1028,Mixed Use,1980-1989,28,83.9
1029,Mixed Use,1980-1989,"28,34",90.1
1030,Mixed Use,1980-1989,3,12.50084201109322
1031,Mixed Use,1980-1989,"3,4",16.008928571428573
1032,Mixed Use,1980-1989,"3,4,5",16.88
1033,Mixed Use,1980-1989,"3,4,5,6",19.9
1034,Mixed Use,1980-1989,"3,4,Undetermined",9.0
1035,Mixed Use,1980-1989,"3,5",20.6875
1036,Mixed Use,1980-1989,"3,6",23.516666666666666
1037,Mixed Use,1980-1989,"3,8",40.55
1038,Mixed Use,1980-1989,32,32.5
1039,Mixed Use,1980-1989,4,16.88822447102116
1040,Mixed Use,1980-1989,"4,5",19.784615384615385
1041,Mixed Use,1980-1989,"4,5,6",13.8
1042,Mixed Use,1980-1989,"4,5,6,7",25.5
1043,Mixed Use,1980-1989,"4,5,8",23.9
1044,Mixed Use,1980-1989,"4,6",25.04
1045,Mixed Use,1980-1989,"4,6,7",27.5
1046,Mixed Use,1980-1989,"4,6,8",34.7
1047,Mixed Use,1980-1989,"4,6,8,9",36.5
1048,Mixed Use,1980-1989,"4,7",32.525
1049,Mixed Use,1980-1989,"4,8",29.4
1050,Mixed Use,1980-1989,"4,8,9",35.9
1051,Mixed Use,1980-1989,"4,9",14.7
1052,Mixed Use,1980-1989,"4,Undetermined",13.5
1053,Mixed Use,1980-1989,43,129.5
1054,Mixed Use,1980-1989,5,20.90612612612613
1055,Mixed Use,1980-1989,"5,6",27.311764705882354
1056,Mixed Use,1980-1989,"5,7",25.20909090909091
1057,Mixed Use,1980-1989,"5,8",28.424999999999997
1058,Mixed Use,1980-1989,6,23.84014084507042
1059,Mixed Use,1980-1989,"6,7",25.650000000000002
1060,Mixed Use,1980-1989,"6,8",25.65
1061,Mixed Use,1980-1989,"6,9",38.8
1062,Mixed Use,1980-1989,7,25.525373134328355
1063,Mixed Use,1980-1989,"7,8",29.360000000000003
1064,Mixed Use,1980-1989,"7,9",28.5
1065,Mixed Use,1980-1989,74,12.1
1066,Mixed Use,1980-1989,8,31.59555555555556
1067,Mixed Use,1980-1989,"8,9",31.75
1068,Mixed Use,1980-1989,9,34.18311688311688
1069,Mixed Use,"1980-1989,1990-1999","2,3",10.4
1070,Mixed Use,"1980-1989,1990-1999,Pre 1919","2,3",9.9
1071,Mixed Use,"1980-1989,Pre 1919",1,6.7
1072,Mixed Use,"1980-1989,Pre 1919","1,10,8",30.0
1073,Mixed Use,"1980-1989,Pre 1919","1,2",10.301935483870967
1074,Mixed Use,"1980-1989,Pre 1919","1,2,3",14.587755102040816
1075,Mixed Use,"1980-1989,Pre 1919","1,2,3,4",13.5
1076,Mixed Use,"1980-1989,Pre 1919","1,2,3,5",22.6
1077,Mixed Use,"1980-1989,Pre 1919","1,2,4",12.44
1078,Mixed Use,"1980-1989,Pre 1919","1,2,6",13.8
1079,Mixed Use,"1980-1989,Pre 1919","1,3",12.235483870967743
1080,Mixed Use,"1980-1989,Pre 1919","1,3,4",22.633333333333336
1081,Mixed Use,"1980-1989,Pre 1919","1,3,4,5",34.0
1082,Mixed Use,"1980-1989,Pre 1919","1,3,5",15.2
1083,Mixed Use,"1980-1989,Pre 1919","1,3,Undetermined",28.9
1084,Mixed Use,"1980-1989,Pre 1919","1,4",15.637500000000001
1085,Mixed Use,"1980-1989,Pre 1919","1,4,5",25.8
1086,Mixed Use,"1980-1989,Pre 1919","1,4,7",25.0
1087,Mixed Use,"1980-1989,Pre 1919","1,4,Undetermined",50.2
1088,Mixed Use,"1980-1989,Pre 1919","1,5",25.86666666666667
1089,Mixed Use,"1980-1989,Pre 1919","1,6",17.8
1090,Mixed Use,"1980-1989,Pre 1919","10,3",22.6
1091,Mixed Use,"1980-1989,Pre 1919","11,3",44.5
1092,Mixed Use,"1980-1989,Pre 1919","11,4",12.4
1093,Mixed Use,"1980-1989,Pre 1919","11,7",46.3
1094,Mixed Use,"1980-1989,Pre 1919","12,5",37.55
1095,Mixed Use,"1980-1989,Pre 1919","13,4,5,8",49.1
1096,Mixed Use,"1980-1989,Pre 1919","14,3",20.9
1097,Mixed Use,"1980-1989,Pre 1919","15,3",50.3
1098,Mixed Use,"1980-1989,Pre 1919","15,3,7",11.4
1099,Mixed Use,"1980-1989,Pre 1919","15,4,Undetermined",46.5
1100,Mixed Use,"1980-1989,Pre 1919","18,4",68.9
1101,Mixed Use,"1980-1989,Pre 1919",2,11.175141242937853
1102,Mixed Use,"1980-1989,Pre 1919","2,20",90.0
1103,Mixed Use,"1980-1989,Pre 1919","2,3",13.320547945205481
1104,Mixed Use,"1980-1989,Pre 1919","2,3,4",18.67777777777778
1105,Mixed Use,"1980-1989,Pre 1919","2,3,4,5",18.520000000000003
1106,Mixed Use,"1980-1989,Pre 1919","2,3,4,5,6",49.3
1107,Mixed Use,"1980-1989,Pre 1919","2,3,4,7",24.0
1108,Mixed Use,"1980-1989,Pre 1919","2,3,5",21.266666666666666
1109,Mixed Use,"1980-1989,Pre 1919","2,3,6",24.066666666666666
1110,Mixed Use,"1980-1989,Pre 1919","2,3,7",22.9
1111,Mixed Use,"1980-1989,Pre 1919","2,3,Undetermined",18.1
1112,Mixed Use,"1980-1989,Pre 1919","2,4",16.20967741935484
1113,Mixed Use,"1980-1989,Pre 1919","2,4,5,6",24.2
1114,Mixed Use,"1980-1989,Pre 1919","2,4,5,7",27.3
1115,Mixed Use,"1980-1989,Pre 1919","2,5",22.642857142857142
1116,Mixed Use,"1980-1989,Pre 1919","2,5,6",33.8
1117,Mixed Use,"1980-1989,Pre 1919","2,5,6,9",54.1
1118,Mixed Use,"1980-1989,Pre 1919","2,5,7",18.4
1119,Mixed Use,"1980-1989,Pre 1919","2,6",24.066666666666666
1120,Mixed Use,"1980-1989,Pre 1919","2,7",21.9
1121,Mixed Use,"1980-1989,Pre 1919","2,7,9",40.5
1122,Mixed Use,"1980-1989,Pre 1919","2,Undetermined",14.55
1123,Mixed Use,"1980-1989,Pre 1919","20,3",10.6
1124,Mixed Use,"1980-1989,Pre 1919","20,6,7",68.3
1125,Mixed Use,"1980-1989,Pre 1919",3,14.473456790123459
1126,Mixed Use,"1980-1989,Pre 1919","3,4",17.72123287671233
1127,Mixed Use,"1980-1989,Pre 1919","3,4,5",31.849999999999998
1128,Mixed Use,"1980-1989,Pre 1919","3,4,5,6,7,8,Undetermined",28.6
1129,Mixed Use,"1980-1989,Pre 1919","3,4,6",24.975
1130,Mixed Use,"1980-1989,Pre 1919","3,4,7",24.65
1131,Mixed Use,"1980-1989,Pre 1919","3,4,Undetermined",31.3
1132,Mixed Use,"1980-1989,Pre 1919","3,5",21.00967741935484
1133,Mixed Use,"1980-1989,Pre 1919","3,5,6",25.880000000000003
1134,Mixed Use,"1980-1989,Pre 1919","3,6",36.455555555555556
1135,Mixed Use,"1980-1989,Pre 1919","3,7",18.340000000000003
1136,Mixed Use,"1980-1989,Pre 1919","3,7,9",41.0
1137,Mixed Use,"1980-1989,Pre 1919","3,Undetermined",18.9125
1138,Mixed Use,"1980-1989,Pre 1919",4,21.176315789473687
1139,Mixed Use,"1980-1989,Pre 1919","4,5",25.57719298245614
1140,Mixed Use,"1980-1989,Pre 1919","4,5,6",33.24999999999999
1141,Mixed Use,"1980-1989,Pre 1919","4,5,Undetermined",35.0
1142,Mixed Use,"1980-1989,Pre 1919","4,6",29.96153846153846
1143,Mixed Use,"1980-1989,Pre 1919","4,6,7",22.1
1144,Mixed Use,"1980-1989,Pre 1919","4,7",28.7875
1145,Mixed Use,"1980-1989,Pre 1919","4,8",30.0
1146,Mixed Use,"1980-1989,Pre 1919","4,Undetermined",21.1
1147,Mixed Use,"1980-1989,Pre 1919",5,26.423809523809524
1148,Mixed Use,"1980-1989,Pre 1919","5,6",31.578260869565216
1149,Mixed Use,"1980-1989,Pre 1919","5,6,7",28.7
1150,Mixed Use,"1980-1989,Pre 1919","5,7",50.28333333333333
1151,Mixed Use,"1980-1989,Pre 1919","5,8",31.324999999999996
1152,Mixed Use,"1980-1989,Pre 1919",6,40.050000000000004
1153,Mixed Use,"1980-1989,Pre 1919","6,7",43.96666666666667
1154,Mixed Use,"1980-1989,Pre 1919","6,7,8,9",42.1
1155,Mixed Use,"1980-1989,Pre 1919","6,8",33.025
1156,Mixed Use,"1980-1989,Pre 1919",7,36.5
1157,Mixed Use,"1980-1989,Pre 1919","7,8",48.833333333333336
1158,Mixed Use,"1980-1989,Pre 1919,Unknown date","1,2",8.9
1159,Mixed Use,"1980-1989,Pre 1919,Unknown date","1,2,4,Undetermined",18.3
1160,Mixed Use,"1980-1989,Pre 1919,Unknown date","1,3,Undetermined",15.7
1161,Mixed Use,"1980-1989,Pre 1919,Unknown date","1,4,Undetermined",21.2
1162,Mixed Use,"1980-1989,Pre 1919,Unknown date","2,3,Undetermined",17.599999999999998
1163,Mixed Use,"1980-1989,Pre 1919,Unknown date","2,4,Undetermined",17.25
1164,Mixed Use,"1980-1989,Pre 1919,Unknown date","2,5,Undetermined",31.2
1165,Mixed Use,"1980-1989,Pre 1919,Unknown date","2,8,Undetermined",35.4
1166,Mixed Use,"1980-1989,Pre 1919,Unknown date","2,Undetermined",12.666666666666666
1167,Mixed Use,"1980-1989,Pre 1919,Unknown date","3,4,Undetermined",23.4
1168,Mixed Use,"1980-1989,Pre 1919,Unknown date","3,5,Undetermined",16.7
1169,Mixed Use,"1980-1989,Pre 1919,Unknown date","3,Undetermined",15.0
1170,Mixed Use,"1980-1989,Pre 1919,Unknown date","4,Undetermined",24.366666666666664
1171,Mixed Use,"1980-1989,Pre 1919,Unknown date","5,6,Undetermined",37.0
1172,Mixed Use,"1980-1989,Pre 1919,Unknown date","7,8,Undetermined",30.9
1173,Mixed Use,"1980-1989,Unknown date","1,10,22,8,Undetermined",75.2
1174,Mixed Use,"1980-1989,Unknown date","1,2",15.4
1175,Mixed Use,"1980-1989,Unknown date","1,2,3,Undetermined",12.45
1176,Mixed Use,"1980-1989,Unknown date","1,2,Undetermined",9.5
1177,Mixed Use,"1980-1989,Unknown date","1,3,Undetermined",12.699999999999998
1178,Mixed Use,"1980-1989,Unknown date","1,Undetermined",11.166666666666666
1179,Mixed Use,"1980-1989,Unknown date","2,3,4,8,Undetermined",28.3
1180,Mixed Use,"1980-1989,Unknown date","2,8,Undetermined",33.699999999999996
1181,Mixed Use,"1980-1989,Unknown date","2,Undetermined",12.044444444444444
1182,Mixed Use,"1980-1989,Unknown date","3,Undetermined",14.215384615384616
1183,Mixed Use,"1980-1989,Unknown date","4,Undetermined",15.55
1184,Mixed Use,"1980-1989,Unknown date","5,Undetermined",14.566666666666668
1185,Mixed Use,"1980-1989,Unknown date","6,Undetermined",18.0
1186,Mixed Use,"1980-1989,Unknown date","8,Undetermined",46.25
1187,Mixed Use,1990-1999,1,8.548275862068966
1188,Mixed Use,1990-1999,"1,2",9.124
1189,Mixed Use,1990-1999,"1,2,3",12.9
1190,Mixed Use,1990-1999,"1,3",12.2
1191,Mixed Use,1990-1999,"1,4",14.433333333333332
1192,Mixed Use,1990-1999,10,51.9
1193,Mixed Use,1990-1999,"10,12,3",38.1
1194,Mixed Use,1990-1999,"10,12,7,8",62.6
1195,Mixed Use,1990-1999,11,33.4
1196,Mixed Use,1990-1999,13,37.4
1197,Mixed Use,1990-1999,14,50.400000000000006
1198,Mixed Use,1990-1999,"14,2",66.85
1199,Mixed Use,1990-1999,15,53.0
1200,Mixed Use,1990-1999,2,9.23581560283688
1201,Mixed Use,1990-1999,"2,3",13.37
1202,Mixed Use,1990-1999,"2,3,Undetermined",21.5
1203,Mixed Use,1990-1999,"2,4",17.4
1204,Mixed Use,1990-1999,"2,4,8",11.1
1205,Mixed Use,1990-1999,"2,6",18.6
1206,Mixed Use,1990-1999,3,11.663853211009176
1207,Mixed Use,1990-1999,"3,4",12.625
1208,Mixed Use,1990-1999,"3,6",22.9
1209,Mixed Use,1990-1999,4,13.971098265895957
1210,Mixed Use,1990-1999,"4,5",16.4
1211,Mixed Use,1990-1999,"4,6",19.7
1212,Mixed Use,1990-1999,5,16.303636363636365
1213,Mixed Use,1990-1999,"5,6",12.4
1214,Mixed Use,1990-1999,6,22.792307692307695
1215,Mixed Use,1990-1999,"6,7",23.3
1216,Mixed Use,1990-1999,7,21.51538461538462
1217,Mixed Use,1990-1999,74,6.5
1218,Mixed Use,1990-1999,8,19.4
1219,Mixed Use,1990-1999,9,31.399999999999995
1220,Mixed Use,"1990-1999,Pre 1919",1,9.1
1221,Mixed Use,"1990-1999,Pre 1919","1,2",10.322222222222223
1222,Mixed Use,"1990-1999,Pre 1919","1,2,3",9.1
1223,Mixed Use,"1990-1999,Pre 1919","1,3",12.375
1224,Mixed Use,"1990-1999,Pre 1919",2,11.248148148148148
1225,Mixed Use,"1990-1999,Pre 1919","2,3",12.713043478260868
1226,Mixed Use,"1990-1999,Pre 1919","2,3,4",20.9
1227,Mixed Use,"1990-1999,Pre 1919","2,4",20.2
1228,Mixed Use,"1990-1999,Pre 1919",3,17.16111111111111
1229,Mixed Use,"1990-1999,Pre 1919","3,4",17.275
1230,Mixed Use,"1990-1999,Pre 1919","3,4,5",13.4
1231,Mixed Use,"1990-1999,Pre 1919","3,5",22.1
1232,Mixed Use,"1990-1999,Pre 1919","3,Undetermined",9.3
1233,Mixed Use,"1990-1999,Pre 1919",4,17.919999999999998
1234,Mixed Use,"1990-1999,Pre 1919","4,5",18.549999999999997
1235,Mixed Use,"1990-1999,Pre 1919","4,Undetermined",18.3
1236,Mixed Use,"1990-1999,Pre 1919","5,6",24.8
1237,Mixed Use,"1990-1999,Pre 1919",6,28.6
1238,Mixed Use,"1990-1999,Pre 1919,Unknown date","1,2,3,4,Undetermined",18.9
1239,Mixed Use,"1990-1999,Pre 1919,Unknown date","1,2,Undetermined",9.7
1240,Mixed Use,"1990-1999,Pre 1919,Unknown date","2,3,Undetermined",7.5
1241,Mixed Use,"1990-1999,Unknown date","1,4,6,Undetermined",19.3
1242,Mixed Use,"1990-1999,Unknown date","1,Undetermined",7.7
1243,Mixed Use,"1990-1999,Unknown date","2,3,Undetermined",9.4
1244,Mixed Use,"1990-1999,Unknown date","2,Undetermined",11.2
1245,Mixed Use,"1990-1999,Unknown date","5,Undetermined",18.099999999999998
1246,Mixed Use,Post 1999,1,8.60828025477707
1247,Mixed Use,Post 1999,"1,12",42.1
1248,Mixed Use,Post 1999,"1,2",11.01388888888889
1249,Mixed Use,Post 1999,"1,2,3",11.15
1250,Mixed Use,Post 1999,"1,2,3,4",33.0
1251,Mixed Use,Post 1999,"1,2,3,5,6",23.1
1252,Mixed Use,Post 1999,"1,2,4",16.4
1253,Mixed Use,Post 1999,"1,2,8",31.0
1254,Mixed Use,Post 1999,"1,3",16.011111111111113
1255,Mixed Use,Post 1999,"1,3,6",24.5
1256,Mixed Use,Post 1999,"1,4",16.299999999999997
1257,Mixed Use,Post 1999,"1,5,6",17.4
1258,Mixed Use,Post 1999,"1,7",28.35
1259,Mixed Use,Post 1999,10,37.2
1260,Mixed Use,Post 1999,"10,3",36.1
1261,Mixed Use,Post 1999,"10,4,8",3.6
1262,Mixed Use,Post 1999,"10,7,9",44.0
1263,Mixed Use,Post 1999,11,38.4
1264,Mixed Use,Post 1999,"11,13,15,5,7",42.4
1265,Mixed Use,Post 1999,"11,3,4",34.1
1266,Mixed Use,Post 1999,"11,4,7,8",38.8
1267,Mixed Use,Post 1999,"11,6",12.9
1268,Mixed Use,Post 1999,"11,7",37.8
1269,Mixed Use,Post 1999,"11,8",31.3
1270,Mixed Use,Post 1999,"11,9",40.5
1271,Mixed Use,Post 1999,12,35.88
1272,Mixed Use,Post 1999,13,31.133333333333336
1273,Mixed Use,Post 1999,"13,14,3",58.0
1274,Mixed Use,Post 1999,"13,5",47.4
1275,Mixed Use,Post 1999,14,44.35
1276,Mixed Use,Post 1999,"14,2",48.2
1277,Mixed Use,Post 1999,"14,5",46.7
1278,Mixed Use,Post 1999,15,22.1
1279,Mixed Use,Post 1999,"15,7",29.5
1280,Mixed Use,Post 1999,"15,8",63.3
1281,Mixed Use,Post 1999,17,56.4
1282,Mixed Use,Post 1999,18,63.5
1283,Mixed Use,Post 1999,19,64.7
1284,Mixed Use,Post 1999,2,9.37938991623202
1285,Mixed Use,Post 1999,"2,3",12.003846153846155
1286,Mixed Use,Post 1999,"2,3,4",11.0
1287,Mixed Use,Post 1999,"2,3,6",29.0
1288,Mixed Use,Post 1999,"2,4",17.571428571428573
1289,Mixed Use,Post 1999,"2,5,6",14.7
1290,Mixed Use,Post 1999,"2,6",26.1
1291,Mixed Use,Post 1999,22,65.8
1292,Mixed Use,Post 1999,26,33.666666666666664
1293,Mixed Use,Post 1999,3,11.364452423698385
1294,Mixed Use,Post 1999,"3,4",13.242857142857144
1295,Mixed Use,Post 1999,"3,6",18.6
1296,Mixed Use,Post 1999,"3,6,7,8,9",25.4
1297,Mixed Use,Post 1999,"30,8",109.0
1298,Mixed Use,Post 1999,4,13.43605442176871
1299,Mixed Use,Post 1999,"4,5",19.077777777777776
1300,Mixed Use,Post 1999,"4,5,6",26.2
1301,Mixed Use,Post 1999,"4,5,6,7,8",25.1
1302,Mixed Use,Post 1999,"4,6",17.825
1303,Mixed Use,Post 1999,"4,8",28.3
1304,Mixed Use,Post 1999,"4,9",19.8
1305,Mixed Use,Post 1999,43,148.0
1306,Mixed Use,Post 1999,5,17.73131868131868
1307,Mixed Use,Post 1999,"5,6",16.65
1308,Mixed Use,Post 1999,"5,6,7",29.0
1309,Mixed Use,Post 1999,"5,7",31.666666666666668
1310,Mixed Use,Post 1999,6,22.396551724137932
1311,Mixed Use,Post 1999,"6,7",26.900000000000002
1312,Mixed Use,Post 1999,"6,8",18.6
1313,Mixed Use,Post 1999,7,24.59830508474576
1314,Mixed Use,Post 1999,"7,8",31.1
1315,Mixed Use,Post 1999,"7,Undetermined",11.8
1316,Mixed Use,Post 1999,74,7.8
1317,Mixed Use,Post 1999,8,30.76923076923077
1318,Mixed Use,Post 1999,9,33.785714285714285
1319,Mixed Use,"Post 1999,Pre 1919","1,2",8.8
1320,Mixed Use,"Post 1999,Pre 1919",2,9.7
1321,Mixed Use,"Post 1999,Pre 1919","2,3",13.8
1322,Mixed Use,"Post 1999,Pre 1919",3,12.6
1323,Mixed Use,"Post 1999,Pre 1919","3,4",14.0
1324,Mixed Use,"Post 1999,Pre 1919","4,5",20.65
1325,Mixed Use,"Post 1999,Pre 1919","4,5,6",34.0
1326,Mixed Use,"Post 1999,Pre 1919",5,21.6
1327,Mixed Use,"Post 1999,Unknown date","1,Undetermined",13.666666666666666
1328,Mixed Use,"Post 1999,Unknown date","19,Undetermined",7.9
1329,Mixed Use,"Post 1999,Unknown date","2,3,4,7,8,Undetermined",37.2
1330,Mixed Use,"Post 1999,Unknown date","2,7,Undetermined",14.7
1331,Mixed Use,"Post 1999,Unknown date","2,Undetermined",13.2
1332,Mixed Use,"Post 1999,Unknown date","3,6,Undetermined",26.2
1333,Mixed Use,"Post 1999,Unknown date","3,Undetermined",14.05
1334,Mixed Use,"Post 1999,Unknown date","4,6,Undetermined",24.7
1335,Mixed Use,"Post 1999,Unknown date","4,Undetermined",26.2
1336,Mixed Use,"Post 1999,Unknown date","5,6,Undetermined",22.4
1337,Mixed Use,"Post 1999,Unknown date","6,Undetermined",11.9
1338,Mixed Use,"Post 1999,Unknown date","8,Undetermined",42.9
1339,Mixed Use,Pre 1837,1,10.115652173913043
1340,Mixed Use,Pre 1837,10,22.475
1341,Mixed Use,Pre 1837,2,10.010746568463341
1342,Mixed Use,Pre 1837,3,12.325891563487879
1343,Mixed Use,Pre 1837,4,14.818922305764412
1344,Mixed Use,Pre 1837,5,17.253363228699552
1345,Mixed Use,Pre 1837,6,19.895081967213116
1346,Mixed Use,Pre 1837,7,23.5
1347,Mixed Use,Pre 1837,8,24.525
1348,Mixed Use,Pre 1837,9,45.5
1349,Mixed Use,Pre 1837,92,17.7
1350,Mixed Use,Pre 1919,1,11.505507246376812
1351,Mixed Use,Pre 1919,"1,2",10.565776699029126
1352,Mixed Use,Pre 1919,"1,2,20",13.5
1353,Mixed Use,Pre 1919,"1,2,3",13.1775
1354,Mixed Use,Pre 1919,"1,2,3,4",18.233333333333334
1355,Mixed Use,Pre 1919,"1,2,3,5",20.950000000000003
1356,Mixed Use,Pre 1919,"1,2,4",16.23333333333333
1357,Mixed Use,Pre 1919,"1,2,4,5",21.8
1358,Mixed Use,Pre 1919,"1,2,5",24.6
1359,Mixed Use,Pre 1919,"1,3",13.339687500000002
1360,Mixed Use,Pre 1919,"1,3,4",19.105882352941176
1361,Mixed Use,Pre 1919,"1,3,5",21.65
1362,Mixed Use,Pre 1919,"1,4",18.245454545454546
1363,Mixed Use,Pre 1919,"1,4,5",24.200000000000003
1364,Mixed Use,Pre 1919,"1,5",25.3375
1365,Mixed Use,Pre 1919,"1,5,6",27.9
1366,Mixed Use,Pre 1919,"1,6",26.1
1367,Mixed Use,Pre 1919,10,16.1
1368,Mixed Use,Pre 1919,"10,3",19.4
1369,Mixed Use,Pre 1919,"10,3,4",31.1
1370,Mixed Use,Pre 1919,"10,3,5",19.1
1371,Mixed Use,Pre 1919,11,10.5
1372,Mixed Use,Pre 1919,"12,2",9.1
1373,Mixed Use,Pre 1919,2,10.21231117127281
1374,Mixed Use,Pre 1919,"2,3",12.593991769547326
1375,Mixed Use,Pre 1919,"2,3,4",16.331313131313134
1376,Mixed Use,Pre 1919,"2,3,4,5",16.3
1377,Mixed Use,Pre 1919,"2,3,4,Undetermined",24.5
1378,Mixed Use,Pre 1919,"2,3,5",21.75
1379,Mixed Use,Pre 1919,"2,3,Undetermined",18.166666666666668
1380,Mixed Use,Pre 1919,"2,4",16.493697478991596
1381,Mixed Use,Pre 1919,"2,4,5",20.658333333333335
1382,Mixed Use,Pre 1919,"2,4,6",24.75
1383,Mixed Use,Pre 1919,"2,5",19.7
1384,Mixed Use,Pre 1919,"2,5,6",32.9
1385,Mixed Use,Pre 1919,"2,6",25.3
1386,Mixed Use,Pre 1919,"2,92",8.9
1387,Mixed Use,Pre 1919,"2,Undetermined",9.5
1388,Mixed Use,Pre 1919,20,3.0
1389,Mixed Use,Pre 1919,"20,4",11.7
1390,Mixed Use,Pre 1919,3,14.380144504395393
1391,Mixed Use,Pre 1919,"3,4",17.711992263056093
1392,Mixed Use,Pre 1919,"3,4,5",23.06086956521739
1393,Mixed Use,Pre 1919,"3,4,5,6",32.4
1394,Mixed Use,Pre 1919,"3,4,6",23.9
1395,Mixed Use,Pre 1919,"3,4,Undetermined",13.6
1396,Mixed Use,Pre 1919,"3,5",22.596000000000004
1397,Mixed Use,Pre 1919,"3,5,6",26.1
1398,Mixed Use,Pre 1919,"3,5,6,7",37.4
1399,Mixed Use,Pre 1919,"3,6",23.200000000000003
1400,Mixed Use,Pre 1919,"3,7",35.46666666666667
1401,Mixed Use,Pre 1919,"3,9",29.8
