shapefile,extent,crs
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ub.shp,[ 255172.68366622 5708228.19712871  270849.63521022 5724701.15172629],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/me.shp,[ 314420.58449844 5673694.2075217   361133.51940302 5708566.35657875],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/la.shp,[  81485.96779638 5991434.92523906  156412.27119054 6055443.32782718],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/bh.shp,[ 126423.91020234 5614932.50174909  174461.49420592 5657258.8459075 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ox.shp,[ 172860.55036666 5715283.28337112  232297.19562773 5789209.49292313],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/tr.shp,[-176220.72322802 5566092.38984517  -58562.46324161 5622721.74586388],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/td.shp,[  98648.64468538 6120161.88747828  199816.31658768 6214641.95143405],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ts.shp,[ 208004.66305244 6027527.50764729  258057.12909649 6076599.30990435],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/lu.shp,[ 237521.75852515 5746189.02989756  271939.03904092 5764291.03181102],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/cm.shp,[ 293587.71271181 5714886.55399647  360552.18404231 5766774.39759334],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/nn.shp,[ 203917.45245818 5765681.31881189  267565.16057113 5832376.98278507],EPSG:32631
